ticker,GSHD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-27,57.5
2018-04-30,-6.0317
2018-05-01,1.4189
2018-05-02,-0.3997
2018-05-03,2.8763
2018-05-04,-0.1951
2018-05-07,3.127
2018-05-08,5.18
2018-05-09,1.0811
2018-05-10,0.5942
2018-05-11,-0.5907
2018-05-14,-1.5449000000000002
2018-05-15,-0.6035
2018-05-16,-1.3357999999999999
2018-05-17,-4.0
2018-05-18,3.8462
2018-05-21,0.0
2018-05-22,-0.679
2018-05-23,2.2374
2018-05-24,0.1824
2018-05-25,-0.4248
2018-05-29,0.1219
2018-05-30,0.6695
2018-05-31,-2.3579
2018-06-01,0.4954
2018-06-04,-0.1848
2018-06-05,7.4074
2018-06-06,-1.6667
2018-06-07,9.5266
2018-06-08,4.0555
2018-06-11,8.4103
2018-06-12,8.0416
2018-06-13,-2.4956
2018-06-14,8.1275
2018-06-15,-1.2873999999999999
2018-06-18,6.9836
2018-06-19,6.7243
2018-06-20,-1.9897
2018-06-21,-1.9548999999999999
2018-06-22,0.5368
2018-06-25,2.6696999999999997
2018-06-26,4.7548
2018-06-27,-6.0284
2018-06-28,-1.6981000000000002
2018-06-29,-4.1843
2018-07-02,-4.8077
2018-07-03,0.7576
2018-07-05,3.0075
2018-07-06,1.2570999999999999
2018-07-09,6.5679
2018-07-10,-6.2383
2018-07-11,0.1603
2018-07-12,6.8427
2018-07-13,-2.3970000000000002
2018-07-16,-0.8442
2018-07-17,9.2879
2018-07-18,-1.8768
2018-07-19,4.9441
2018-07-20,-7.4278
2018-07-23,-1.3001
2018-07-24,-0.6022
2018-07-25,5.5282
2018-07-26,-0.897
2018-07-27,-2.7516
2018-07-30,-0.5212
2018-07-31,1.6841
2018-08-01,-0.1472
2018-08-02,2.359
2018-08-03,-0.3241
2018-08-06,-1.1561
2018-08-07,-0.1827
2018-08-08,-3.0392
2018-08-09,-1.7749000000000001
2018-08-10,4.7674
2018-08-13,-3.0092
2018-08-14,-0.7189
2018-08-15,3.5442
2018-08-16,-1.1778
2018-08-17,-0.8939
2018-08-20,1.8414000000000001
2018-08-21,0.0
2018-08-22,-1.5497999999999998
2018-08-23,0.075
2018-08-24,-0.8989
2018-08-27,0.4913
2018-08-28,2.6702
2018-08-29,9.5971
2018-08-30,-3.6765
2018-08-31,7.6336
2018-09-04,8.8008
2018-09-05,-4.7704
2018-09-06,-5.6937999999999995
2018-09-07,4.157
2018-09-10,6.4302
2018-09-11,5.2381
2018-09-12,0.2262
