ticker,FAMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-20,-2.0874
2018-02-21,-1.1734
2018-02-22,3.6789
2018-02-23,-4.6774000000000004
2018-02-26,12.8579
2018-02-27,-3.147
2018-02-28,-4.0248
2018-03-01,1.9355
2018-03-02,1.2658
2018-03-05,0.7813
2018-03-06,1.0853
2018-03-07,-0.1764
2018-03-08,0.9449
2018-03-09,0.1522
2018-03-12,1.9757
2018-03-13,-2.4441
2018-03-14,0.3666
2018-03-15,0.4566
2018-03-16,-0.7576
2018-03-19,-0.6107
2018-03-20,0.4608
2018-03-21,0.1529
2018-03-22,-0.7634
2018-03-23,-0.9231
2018-03-26,-0.7764
2018-03-27,-0.626
2018-03-28,-0.4724
2018-03-29,-0.3165
2018-04-02,1.5873
2018-04-03,3.125
2018-04-04,1.8182
2018-04-05,-0.6696
2018-04-06,1.4232
2018-04-09,3.3959
2018-04-10,8.2873
2018-04-11,0.0
2018-04-12,0.7916
2018-04-13,4.712
2018-04-16,-1.2825
2018-04-17,-0.3419
2018-04-18,0.122
2018-04-19,-2.5381
2018-04-20,0.5807
2018-04-23,3.3063000000000002
2018-04-24,-3.5088
2018-04-25,-0.1299
2018-04-26,0.7802
2018-04-27,-0.8335
2018-04-30,3.7031
2018-05-01,-3.6386
2018-05-02,0.2604
2018-05-03,0.9091
2018-05-04,0.9009
2018-05-07,0.7653
2018-05-08,0.6329
2018-05-09,0.0
2018-05-10,2.0126
2018-05-11,2.2195
2018-05-14,1.2063
2018-05-15,1.5495
2018-05-16,0.1174
2018-05-17,4.1032
2018-05-18,2.4775
2018-05-21,1.5385
2018-05-22,0.5411
2018-05-23,0.4306
2018-05-24,-0.3215
2018-05-25,8.2796
2018-05-29,-1.0933
2018-05-30,-1.4046
2018-05-31,0.611
2018-06-01,-3.6437
2018-06-04,-1.2605
2018-06-05,-2.1277
2018-06-06,-4.7826
2018-06-07,-9.2466
2018-06-08,-5.4088
2018-06-11,3.4574
2018-06-12,4.3702
2018-06-13,0.9852
2018-06-14,0.122
2018-06-15,-9.3788
2018-06-18,-13.172
2018-06-19,7.5851
2018-06-20,-5.4676
2018-06-21,7.9148
2018-06-22,1.9746000000000001
2018-06-25,13.6929
2018-06-26,0.1217
2018-06-27,1.2151
2018-06-28,0.8403
2018-06-29,1.1905000000000001
2018-07-02,-0.8235
2018-07-03,-2.847
2018-07-05,-8.1294
2018-07-06,-7.8972
2018-07-09,-16.0173
2018-07-10,-7.3883
2018-07-11,-5.705
