ticker,STXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-12,-2.25
2004-08-13,-4.0921
2004-08-16,0.0
2004-08-17,0.0
2004-08-18,2.0
2004-08-19,-0.6536
2004-08-20,0.9211
2004-08-23,-0.2608
2004-08-24,-1.1764999999999999
2004-08-25,-0.6614
2004-08-26,2.9294000000000002
2004-08-27,1.5524
2004-08-30,3.1847
2004-08-31,6.0494
2004-09-01,7.7998
2004-09-02,3.6717
2004-09-03,18.75
2004-09-07,-4.8246
2004-09-08,-1.1982
2004-09-09,-3.4515000000000002
2004-09-10,-4.3478
2004-09-13,8.0808
2004-09-14,-1.9626000000000001
2004-09-15,4.3850999999999996
2004-09-16,9.0411
2004-09-17,0.5025
2004-09-20,3.675
2004-09-21,-5.3935
2004-09-22,-1.9541
2004-09-23,-8.4922
2004-09-24,-5.303
2004-09-27,1.1
2004-09-28,4.1543
2004-09-29,-1.2346
2004-09-30,-6.3462
2004-10-01,-2.4641
2004-10-04,-1.1579
2004-10-05,-1.9062999999999999
2004-10-06,0.8577
2004-10-07,-3.8750999999999998
2004-10-08,-4.9272
2004-10-11,1.7668
2004-10-12,0.0
2004-10-13,0.0
2004-10-14,1.6204
2004-10-15,0.0
2004-10-18,-0.6834
2004-10-19,-2.4083
2004-10-20,3.9953
2004-10-21,-0.904
2004-10-22,-2.1665
2004-10-25,-1.6317
2004-10-26,-0.1185
2004-10-27,7.8292
2004-10-28,5.0605
2004-10-29,-1.8848
2004-11-01,-2.5614
2004-11-02,-1.2048
2004-11-03,0.0
2004-11-04,1.9956
2004-11-05,3.9130000000000003
2004-11-08,9.6234
2004-11-09,-5.0573
2004-11-10,3.3166
2004-11-11,1.4591
2004-11-12,0.6711
2004-11-15,-1.0476
2004-11-16,-4.7161
2004-11-17,5.6566
2004-11-18,3.8241
2004-11-19,-0.8287
2004-11-22,1.1142
2004-11-23,-3.1221
2004-11-24,-0.6635
2004-11-26,-2.6718
2004-11-29,-3.4314
2004-11-30,-1.0152
2004-12-01,-1.3333
2004-12-02,2.183
2004-12-03,-1.7294
2004-12-06,1.7598
2004-12-07,-2.645
2004-12-08,-1.6719
2004-12-09,2.6567
2004-12-10,1.9668999999999999
2004-12-13,2.6395999999999997
2004-12-14,-1.1869
2004-12-15,-0.4004
2004-12-16,0.5025
2004-12-17,0.8
2004-12-20,-1.5873
2004-12-21,-0.2016
2004-12-22,0.7071
2004-12-23,-1.4042
2004-12-27,0.7121
2004-12-28,-1.7172
2004-12-29,-0.6166
