ticker,PACDQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-11,0.0
2011-11-14,1.2121
2011-11-15,2.9939999999999998
2011-11-16,1.1628
2011-11-17,2.1839
2011-11-18,-1.3498
2011-11-21,-2.8506
2011-11-22,-1.9952999999999999
2011-11-23,-0.9581
2011-11-25,-0.2418
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,1.0909
2011-12-01,1.4388
2011-12-02,0.591
2011-12-05,-0.235
2011-12-06,1.7668
2011-12-07,-0.8102
2011-12-08,-2.5671
2011-12-09,5.7485
2011-12-12,-3.171
2011-12-13,0.3509
2011-12-14,-2.0979
2011-12-15,-0.5952
2011-12-16,0.8383
2011-12-19,4.038
2011-12-20,2.0548
2011-12-21,-0.4474
2011-12-22,1.3483
2011-12-23,0.2217
2011-12-27,2.2124
2011-12-28,-2.4892
2011-12-29,-0.444
2011-12-30,3.6789
2012-01-03,0.9677
2012-01-04,-0.5325
2012-01-05,-2.3555
2012-01-06,2.0833
2012-01-09,-0.5371
2012-01-10,-0.216
2012-01-11,-0.4329
2012-01-12,4.0217
2012-01-13,0.9404
2012-01-17,1.0352
2012-01-18,-0.6148
2012-01-19,-0.9278
2012-01-20,4.0583
2012-01-23,-0.7
2012-01-24,-0.6042
2012-01-25,0.304
2012-01-26,-3.3333
2012-01-27,-0.5225
2012-01-30,3.5714
2012-01-31,-2.6369
2012-02-01,2.0833
2012-02-02,1.6327
2012-02-03,4.5181000000000004
2012-02-06,-2.1134
2012-02-07,1.2758
2012-02-08,-0.2907
2012-02-09,3.4985
2012-02-10,3.8498
2012-02-13,0.3617
2012-02-14,-1.8919000000000001
2012-02-15,-1.2856
2012-02-16,1.3953
2012-02-17,0.0
2012-02-21,-1.0092
2012-02-22,0.7414
2012-02-23,1.196
2012-02-24,-0.0909
2012-02-27,-0.364
2012-02-28,-1.1872
2012-02-29,-0.5545
2012-03-01,1.2082
2012-03-02,-0.9183
2012-03-05,-2.2243
2012-03-06,-6.0664
2012-03-07,3.1282
2012-03-08,-1.1742
2012-03-09,-0.297
2012-03-12,-0.993
2012-03-13,1.3039
2012-03-14,-1.0891
2012-03-15,1.5015
2012-03-16,6.213
2012-03-19,1.6713
2012-03-20,-1.4612
2012-03-21,1.2048
2012-03-22,-1.0989
2012-03-23,0.6481
2012-03-26,-2.0239
2012-03-27,-1.784
2012-03-28,-2.0076
2012-03-29,-1.3659
2012-03-30,0.0989
2012-04-02,1.581
2012-04-03,-0.6809
2012-04-04,-1.8609
