ticker,SNDE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-07,-2.1387
2016-09-08,-3.9735
2016-09-09,9.2414
2016-09-13,-25.5051
2016-09-14,-17.3729
2016-09-15,25.7436
2016-09-16,-10.1958
2016-09-19,0.092
2016-09-20,2.086
2016-09-21,-2.2222
2016-09-22,1.0909
2016-09-23,7.9137
2016-09-26,-1.6667
2016-09-27,-0.8745
2016-09-28,36.7894
2016-09-29,-17.0688
2016-09-30,0.2336
2016-10-03,-0.7519
2016-10-04,4.5455
2016-10-05,8.9769
2016-10-06,-1.588
2016-10-07,-2.027
2016-10-10,0.6897
2016-10-11,-2.7397
2016-10-12,-0.7042
2016-10-13,0.7092
2016-10-14,0.0
2016-10-17,-0.8451
2016-10-18,2.2727
2016-10-19,4.1667
2016-10-20,-1.7332999999999998
2016-10-21,-3.6635
2016-10-24,2.8872999999999998
2016-10-25,-0.7529
2016-10-27,-5.3103
2016-10-28,0.9441
2016-11-01,-2.5948
2016-11-02,-5.5556
2016-11-03,5.9608
2016-11-04,-0.074
2016-11-07,-6.6667
2016-11-08,3.1746
2016-11-09,-2.0563
2016-11-11,-9.2101
2016-11-14,0.1849
2016-11-15,5.2466
2016-11-16,-2.3792
2016-11-17,-0.748
2016-11-18,5.8425
2016-11-21,1.6800000000000002
2016-11-22,5.5453
2016-11-23,3.4677
2016-11-29,-2.6247
2016-11-30,5.4321
2016-12-01,5.5869
2016-12-02,-3.6289
2016-12-05,1.5862
2016-12-06,-1.4134
2016-12-07,-0.0813
2016-12-08,0.0009
2016-12-09,5.099
2016-12-12,1.6393
2016-12-13,2.0883
2016-12-14,-0.4025
2016-12-15,-4.8231
2016-12-16,2.6675
2016-12-19,-0.0008
2016-12-20,-2.4091
2016-12-21,0.3256
2016-12-22,-2.1741
2016-12-23,1.6949
2016-12-27,0.0667
2016-12-28,0.5996
2016-12-29,3.9735
2016-12-30,1.4013
2017-01-03,1.1935
2017-01-04,2.1105
2017-01-05,1.5198
2017-01-06,2.1257
2017-01-09,5.4823
2017-01-10,-5.5031
2017-01-11,2.3522
2017-01-13,1.0014
2017-01-17,-0.5772
2017-01-18,-4.923
2017-01-19,-0.1874
2017-01-20,3.4293
2017-01-23,-3.7318
2017-01-24,2.9671
2017-01-25,-0.6846
2017-01-26,-0.7907
2017-01-27,-4.4776
2017-01-30,-3.2586
2017-01-31,-9.5527
2017-02-01,-8.75
2017-02-02,-1.7612999999999999
2017-02-03,-4.3028
2017-02-06,-0.0843
