ticker,CSCW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-11,4.0
2008-10-02,0.0
2008-10-03,0.0
2008-10-09,-11.1538
2008-10-23,16.8831
2008-11-10,1.8519
2008-12-23,0.0
2009-01-29,-63.2727
2009-01-30,8.9109
2009-02-04,63.6364
2009-02-05,0.0
2009-02-06,0.0
2009-02-10,8.3333
2009-02-12,-25.641
2009-02-13,0.0
2009-03-10,0.0
2009-03-11,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,0.0
2009-03-26,0.0
2009-03-27,0.0
2009-03-30,10.3448
2009-03-31,12.5
2009-04-01,0.0
2009-04-02,0.0
2009-04-03,0.0
2009-04-06,0.0
2009-04-07,-5.0
2009-04-09,16.9591
2009-04-13,0.0
2009-04-14,3.0
2009-04-16,1.4563
2009-04-21,5.2632
2009-04-22,0.0
2009-04-24,7.9545
2009-04-27,-3.1579
2009-04-28,0.0
2009-04-30,6.5217
2009-05-01,12.2449
2009-05-04,-5.0909
2009-05-05,3.4483
2009-05-06,-1.8519
2009-05-08,0.0
2009-05-12,-7.5472
2009-05-14,2.0408
2009-05-15,12.0
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,0.0
2009-05-21,5.3571
2009-05-22,0.0
2009-05-26,-15.2542
2009-05-27,6.8
2009-05-28,-0.3745
2009-05-29,-17.2932
2009-06-01,0.0
2009-06-02,27.2727
2009-06-03,25.0
2009-06-04,0.0
2009-06-05,-14.2857
2009-06-08,8.3333
2009-06-09,-1.8462
2009-06-10,0.0
2009-06-11,0.0
2009-06-12,0.0
2009-06-15,0.0
2009-06-16,0.0
2009-06-17,-4.3887
2009-06-18,0.0
2009-06-19,0.0
2009-06-22,0.0
2009-06-23,-9.8361
2009-06-24,1.8182
2009-06-25,0.0
2009-06-26,16.0714
2009-06-29,-13.8462
2009-06-30,0.0
2009-07-01,0.0
2009-07-02,-8.9286
2009-07-06,7.8431
2009-07-07,-9.0909
2009-07-08,0.0
2009-07-09,0.0
2009-07-10,0.0
2009-07-13,0.0
2009-07-14,28.0
2009-07-15,0.0
2009-07-16,5.625
2009-07-17,3.5503
2009-07-20,-1.4285999999999999
2009-07-21,24.6377
2009-07-22,-1.1628
2009-07-23,1.6471
2009-07-24,4.1667
2009-07-27,15.5556
2009-07-28,-3.8462
2009-07-29,-5.0
2009-07-30,5.2632
2009-07-31,-1.0
2009-08-03,4.8485
2009-08-04,0.578
2009-08-05,3.4483
