ticker,PGEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-16,-81.0
2010-11-29,2026.3158
2010-11-30,-12.8713
2010-12-01,14.7727
2010-12-13,-49.505
2010-12-20,1.9607999999999999
2011-04-05,44.2308
2011-04-20,6.6667
2011-04-29,-18.75
2011-05-04,92.3077
2011-07-11,-48.0
2011-07-15,0.0
2011-07-21,-3.8462
2011-07-25,12.0
2011-09-13,-7.1429
2011-10-18,-60.0
2011-10-31,22.1154
2011-11-01,25.9843
2014-02-26,87.5
2014-08-22,33.3333
2014-12-18,15.0
2015-06-15,73.913
2015-12-18,-32.5
2015-12-22,11.1111
2015-12-23,10.0
2015-12-29,-3.0303
2015-12-30,0.0
2016-01-11,-3.125
2016-01-12,-9.6774
2016-01-13,-25.0
2016-01-14,-4.7619
2016-01-20,-20.0
2016-01-21,0.0
2016-01-22,0.0
2016-02-02,-12.5
2016-02-03,-2.8571
2016-02-11,-26.4706
2016-02-12,-10.0
2016-02-29,0.0
2016-03-16,-13.3333
2016-03-28,0.0
2016-03-29,0.0
2016-03-31,-10.2564
2016-06-03,0.0
2016-06-21,114.2857
2016-07-01,-33.3333
2016-09-23,20.0
2016-09-29,8.3333
2016-11-17,15.3846
2016-12-22,-46.6667
2017-01-11,2.5
2017-04-06,-46.3415
2017-05-01,0.0
2017-05-26,0.0
2019-09-16,150.0
2019-09-17,127.2727
2019-09-18,-20.0
2019-09-19,-50.0
2019-10-15,-20.0
2019-11-08,-17.5
2019-11-13,0.0
2019-12-06,0.0
2019-12-27,0.0
2020-02-06,21.2121
2020-02-18,0.0
2020-02-27,0.0
2020-03-05,10.0
2020-03-10,70.4545
2020-03-11,-29.3333
2020-03-12,41.5094
2020-03-13,0.0
2020-03-16,-33.3333
2020-03-18,40.0
2020-03-19,0.0
2020-03-20,-25.7143
2020-03-23,130.7692
2020-03-24,69.1667
2020-03-25,-16.2562
2020-03-26,-38.2353
2020-03-27,14.2857
2020-03-30,-8.3333
2020-04-01,81.8182
2020-04-02,-12.5
2020-04-03,-17.7143
2020-04-06,38.8889
2020-04-07,-7.5
2020-05-04,-99.4
2020-06-16,9.9099
