ticker,DAVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-27,26.0
2018-07-30,-7.7381
2018-07-31,2.8387000000000002
2018-08-01,-0.4601
2018-08-02,4.2017
2018-08-03,1.129
2018-08-06,5.303
2018-08-07,-0.833
2018-08-08,0.8018
2018-08-09,1.4394
2018-08-10,3.0993
2018-08-13,7.3162
2018-08-14,2.7
2018-08-15,-3.0891
2018-08-16,-0.9834
2018-08-17,-2.1575
2018-08-20,-3.7802
2018-08-21,-7.239
2018-08-22,2.7451
2018-08-23,4.2366
2018-08-24,-3.6983
2018-08-27,2.0913
2018-08-28,-1.8622
2018-08-29,0.5313
2018-08-30,-0.3398
2018-08-31,-0.6818
2018-09-04,0.7628
2018-09-05,-0.6435
2018-09-06,-2.8571
2018-09-07,-0.1961
2018-09-10,0.1965
2018-09-11,-0.1569
2018-09-12,0.5106
2018-09-13,0.4689
2018-09-14,0.6223
2018-09-17,-0.1933
2018-09-18,3.9892
2018-09-19,3.0168
2018-09-20,0.1446
2018-09-21,1.6245
2018-09-24,2.6643
2018-09-25,3.1142
2018-09-26,0.0
2018-09-27,-0.4362
2018-09-28,-3.8423
2018-10-01,7.7462
2018-10-02,-5.1724
2018-10-03,-3.2933
2018-10-04,-1.4189
2018-10-05,0.2519
2018-10-08,-1.5434
2018-10-09,-4.63
2018-10-10,-6.6131
2018-10-11,-13.2214
2018-10-12,12.6415
2018-10-15,-1.1724999999999999
2018-10-16,5.9322
2018-10-17,0.8
2018-10-18,-4.6429
2018-10-19,-3.1627
2018-10-22,-1.1602999999999999
2018-10-23,0.8261
2018-10-24,-0.8193
2018-10-25,4.1739
2018-10-26,-3.798
2018-10-29,1.4317
2018-10-30,-3.2079
2018-10-31,2.7839
2018-11-01,1.4617
2018-11-02,3.178
2018-11-05,-0.2464
2018-11-06,-1.0704
2018-11-07,-0.1248
2018-11-08,1.9167
2018-11-09,-2.085
2018-11-12,0.4593
2018-11-13,-3.1172
2018-11-14,3.8181000000000003
2018-11-15,0.7438
2018-11-16,2.5431
2018-11-19,0.6
2018-11-20,-1.3121
2018-11-21,1.7325
2018-11-23,0.9901
2018-11-26,-5.9216
2018-11-27,1.3756
2018-11-28,1.028
2018-11-29,0.9361
2018-11-30,-0.4032
2018-12-03,-0.8097
2018-12-04,-0.8163
2018-12-06,-2.2634
2018-12-07,-1.0526
2018-12-10,0.0
2018-12-11,-0.8511
2018-12-12,1.2876
2018-12-13,-1.4830999999999999
2018-12-14,5.0753
