ticker,BKEP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-18,33.2727
2007-07-19,3.4789
2007-07-20,0.1318
2007-07-23,-1.7446000000000002
2007-07-24,0.8723
2007-07-25,-0.3666
2007-07-26,2.5667
2007-07-27,-0.715
2007-07-30,-0.3601
2007-07-31,-0.6012
2007-08-01,-0.3867
2007-08-02,-0.6304
2007-08-03,-2.0033
2007-08-06,-4.2589
2007-08-07,1.4591
2007-08-08,1.6484999999999999
2007-08-09,-0.8627
2007-08-10,-1.7055
2007-08-13,4.1076
2007-08-14,2.551
2007-08-15,-0.8292
2007-08-16,-1.3378
2007-08-17,1.322
2007-08-20,-1.3048
2007-08-21,0.3729
2007-08-22,2.1614
2007-08-23,0.1653
2007-08-24,0.165
2007-08-27,0.0
2007-08-28,-2.8007
2007-08-29,0.2373
2007-08-30,0.744
2007-08-31,0.8728
2007-09-04,0.8319
2007-09-05,-2.1122
2007-09-06,2.6972
2007-09-07,-1.5594000000000001
2007-09-10,-2.6847
2007-09-11,-1.0624
2007-09-12,0.9352
2007-09-13,0.2059
2007-09-14,-0.7877
2007-09-17,0.1553
2007-09-18,-0.3963
2007-09-19,0.9343
2007-09-20,1.1656
2007-09-21,-0.4236
2007-09-24,-2.0248
2007-09-25,-0.521
2007-09-26,-0.2444
2007-09-27,0.455
2007-09-28,1.0453
2007-10-01,0.0
2007-10-02,-2.6552
2007-10-03,-2.763
2007-10-04,1.02
2007-10-05,1.9834
2007-10-08,0.2829
2007-10-09,1.6573
2007-10-10,0.9365
2007-10-11,1.512
2007-10-12,0.7109
2007-10-15,2.1176
2007-10-16,-0.4608
2007-10-17,-0.3638
2007-10-18,0.0
2007-10-19,-0.4315
2007-10-22,0.0
2007-10-23,0.7333
2007-10-24,-0.3309
2007-10-25,0.5976
2007-10-26,-0.495
2007-10-29,-0.0332
2007-10-30,0.7299
2007-10-31,-0.2988
2007-11-01,-2.2311
2007-11-02,0.4768
2007-11-05,-1.3898
2007-11-06,-0.275
2007-11-07,-1.4133
2007-11-08,-0.2797
2007-11-09,-1.6129
2007-11-12,0.0
2007-11-13,0.4633
2007-11-14,-1.3125
2007-11-15,0.5392
2007-11-16,-1.2156
2007-11-19,0.6877
2007-11-20,1.8692
2007-11-21,-2.3289
2007-11-23,0.4335
2007-11-26,-1.0791
2007-11-27,-1.8182
2007-11-28,-0.7778
2007-11-29,0.4106
2007-11-30,-0.5576
2007-12-03,-0.9346
2007-12-04,-2.2641999999999998
2007-12-05,-1.3514
