ticker,DIRV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-18,5.4545
2010-05-11,4.8276
2010-06-17,10.1974
2010-07-29,-2.3881
2010-08-03,6.7278
2010-09-07,0.2865
2010-09-09,0.8571
2010-09-21,-43.9093
2010-09-24,-36.8687
2010-09-28,184.0
2010-09-29,4.2254
2010-09-30,0.2703
2010-10-07,-12.3989
2010-10-08,-7.6923
2010-10-11,-23.3333
2010-10-13,39.1304
2010-10-14,-6.5625
2010-10-18,0.0
2010-10-28,-66.2207
2010-11-03,-1.9802
2010-11-04,6.0606
2010-11-10,-3.8095
2010-11-12,122.7723
2010-11-15,-33.3333
2010-11-17,-10.0
2010-11-30,60.0
2010-12-28,-66.6667
2011-01-04,0.0
2011-02-23,0.0
2011-03-02,0.0
2011-03-03,25.0
2011-03-11,30.0
2011-03-18,0.0
2011-03-29,-53.8462
2011-03-30,108.3333
2011-04-12,-20.0
2011-04-13,-15.0
2011-04-19,-49.1912
2011-05-03,-30.246
2011-05-04,198.7552
2011-05-05,-66.5278
2011-05-06,0.0
2011-05-13,146.888
2011-05-17,-58.3193
2011-05-19,0.0
2011-05-20,0.0
2011-05-23,0.0
2011-05-24,0.0
2011-05-31,0.0
2011-06-16,93.5484
2011-06-24,0.0
2011-06-28,-41.6667
2011-06-29,0.0
2011-06-30,14.2857
2011-07-01,28.4375
2011-07-12,-2.6764
2011-07-15,10.0
2011-08-26,0.0
2011-08-31,0.0
2011-09-07,-36.3636
2011-09-12,0.8929
2011-09-16,69.9115
2011-09-23,-50.0
2011-09-29,0.0
2011-09-30,33.3333
2011-10-10,-25.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-17,0.0
2011-11-11,-16.6667
2011-11-15,40.0
2011-11-16,-40.0
2011-12-06,0.0
2011-12-14,66.6667
2011-12-15,-14.2857
2011-12-19,0.0
2011-12-30,-33.3333
2012-03-16,-20.9375
2012-03-21,-8.3004
2012-03-28,3.4483
2012-03-29,-33.3333
2012-04-05,-1.875
2012-04-13,42.6752
2012-04-20,-42.8571
2012-05-09,-37.5
2012-05-17,22.5
2012-05-23,30.6122
2012-05-29,68.75
2012-05-30,3.7037
2012-06-01,10.7143
2012-06-04,-7.2581
2012-06-05,-18.6957
2012-06-06,-18.7166
2012-06-13,-15.7895
2012-06-18,0.0
2012-06-19,-12.5
2012-06-20,14.2857
2012-06-21,0.0
2012-06-22,2.3438
2012-06-25,19.8473
2012-06-26,0.6369
2012-06-27,-0.6329
