ticker,FTSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-02,14.5
2018-02-05,-3.4934
2018-02-06,0.7541
2018-02-07,-4.491
2018-02-08,-7.628
2018-02-09,-2.2059
2018-02-12,5.4945
2018-02-13,1.2061
2018-02-14,2.7086
2018-02-15,-0.211
2018-02-16,2.4840999999999998
2018-02-20,-0.722
2018-02-21,0.2078
2018-02-22,1.1923
2018-02-23,1.0758
2018-02-26,1.9767000000000001
2018-02-27,1.0437
2018-02-28,-0.0492
2018-03-01,-0.0492
2018-03-02,-2.3141
2018-03-05,-0.2016
2018-03-06,1.7172
2018-03-07,-2.6316
2018-03-08,0.306
2018-03-09,0.5084
2018-03-12,-0.8093
2018-03-13,-0.051
2018-03-14,-0.5102
2018-03-15,-1.7949000000000002
2018-03-16,1.8799000000000001
2018-03-19,0.1025
2018-03-20,-1.0241
2018-03-21,5.1733
2018-03-22,-3.7382999999999997
2018-03-23,1.5840999999999998
2018-03-26,-0.6036
2018-03-27,-7.3887
2018-03-28,-1.6393
2018-03-29,2.1667
2018-04-02,-2.012
2018-04-03,-1.9423
2018-04-04,-2.8297
2018-04-05,4.1934
2018-04-06,-2.6831
2018-04-09,-0.4595
2018-04-10,6.1166
2018-04-11,1.6313
2018-04-12,-0.4815
2018-04-13,-1.129
2018-04-16,1.3594
2018-04-17,0.5901
2018-04-18,4.7467
2018-04-19,1.1202
2018-04-20,-0.7049
2018-04-23,-0.1014
2018-04-24,-2.1827
2018-04-25,-1.0898
2018-04-26,2.9381
2018-04-27,1.0194
2018-04-30,0.7568
2018-05-01,-2.2534
2018-05-02,2.0492
2018-05-03,-1.5562
2018-05-04,-2.0908
2018-05-07,1.7708
2018-05-08,-0.6653
2018-05-09,-1.0819
2018-05-10,-0.5729
2018-05-11,0.8381
2018-05-14,1.0909
2018-05-15,1.3875
2018-05-16,1.4192
2018-05-17,6.2969
2018-05-18,0.7992
2018-05-21,2.2388
2018-05-22,-0.0456
2018-05-23,-0.4564
2018-05-24,-3.1178
2018-05-25,-5.5372
2018-05-29,-2.8056
2018-05-30,1.2371
2018-05-31,-3.5642
2018-06-01,-3.3263
2018-06-04,-4.3146
2018-06-05,-1.1416
2018-06-06,-0.1732
2018-06-07,-0.9832
2018-06-08,-7.1262
2018-06-11,0.566
2018-06-12,4.5654
2018-06-13,-1.3158
2018-06-14,-4.6061
2018-06-15,-0.0635
2018-06-18,0.6357
2018-06-19,0.1895
2018-06-20,-3.0895
2018-06-21,-5.3351
