ticker,MBUU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-31,26.7857
2014-02-03,1.9718
2014-02-04,-2.5414
2014-02-05,-2.2109
2014-02-06,-0.5797
2014-02-07,2.2741
2014-02-10,-0.057
2014-02-11,-0.5705
2014-02-12,1.1474
2014-02-13,-3.1764
2014-02-14,4.8037
2014-02-18,-0.7826
2014-02-19,-0.2254
2014-02-20,3.275
2014-02-21,0.328
2014-02-24,-0.8174
2014-02-25,-0.2747
2014-02-26,-0.9366
2014-02-27,1.1123
2014-02-28,1.3751
2014-03-03,1.1937
2014-03-04,6.5952
2014-03-05,4.8793
2014-03-06,4.3645
2014-03-07,5.6526
2014-03-10,3.9582
2014-03-11,-6.9456
2014-03-12,0.8094
2014-03-13,4.9063
2014-03-14,-3.5714
2014-03-17,-2.9541
2014-03-18,5.6792
2014-03-19,-1.5047000000000001
2014-03-20,0.4801
2014-03-21,-2.3891999999999998
2014-03-24,-0.6676
2014-03-25,-1.2993000000000001
2014-03-26,0.9532
2014-03-27,-9.8921
2014-03-28,3.3433
2014-03-31,7.2912
2014-04-01,-0.6751
2014-04-02,0.0906
2014-04-03,-0.7243
2014-04-04,0.3192
2014-04-07,0.2273
2014-04-08,0.4082
2014-04-09,0.1355
2014-04-10,-1.1728
2014-04-11,-2.2821
2014-04-14,-0.8874
2014-04-15,7.3044
2014-04-16,-2.8106999999999998
2014-04-17,-0.2711
2014-04-21,-0.2719
2014-04-22,2.4989
2014-04-23,2.039
2014-04-24,-3.1277
2014-04-25,-1.704
2014-04-28,0.2281
2014-04-29,0.0455
2014-04-30,1.2739
2014-05-01,-2.0665
2014-05-02,-0.0917
2014-05-05,0.1377
2014-05-06,-1.1921
2014-05-07,-7.471
2014-05-08,-2.4072
2014-05-09,-0.0514
2014-05-12,8.072
2014-05-13,-0.4282
2014-05-14,-1.7678
2014-05-15,-2.4319
2014-05-16,-1.6451
2014-05-19,-0.6336
2014-05-20,-1.9127999999999998
2014-05-21,2.2361
2014-05-22,0.5595
2014-05-23,0.6576
2014-05-27,2.5628
2014-05-28,-3.8217
2014-05-29,1.9358
2014-05-30,-0.9495
2014-06-02,-2.3209
2014-06-03,-1.8595000000000002
2014-06-04,0.4737
2014-06-05,1.4144
2014-06-06,4.5455
2014-06-09,1.8775
2014-06-10,-3.2978
2014-06-11,-2.3571
2014-06-12,-2.3112
2014-06-13,2.734
2014-06-16,-2.61
2014-06-17,-0.7357
2014-06-18,-0.847
2014-06-19,4.1111
