ticker,RAPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-31,8.3333
2019-11-01,-2.3077
2019-11-04,-3.1496
2019-11-05,17.8049
2019-11-06,3.5197000000000003
2019-11-07,48.4667
2019-11-08,26.1787
2019-11-11,-30.2491
2019-11-12,10.9694
2019-11-13,-6.2989
2019-11-14,3.9254
2019-11-15,-7.0822
2019-11-18,-9.6037
2019-11-19,0.0
2019-11-20,19.3929
2019-11-21,-2.5423999999999998
2019-11-22,-1.0145
2019-11-25,43.8263
2019-11-26,-7.4992
2019-11-27,-2.1662
2019-11-29,-2.8478
2019-12-02,-16.1328
2019-12-03,14.818200000000001
2019-12-04,10.3407
2019-12-05,-4.8311
2019-12-06,-6.1068999999999996
2019-12-09,2.1545
2019-12-10,-1.5917
2019-12-11,-7.4404
2019-12-12,-5.2862
2019-12-13,9.4096
2019-12-16,4.3845
2019-12-17,-7.1082
2019-12-18,6.087
2019-12-19,2.459
2019-12-20,9.68
2019-12-23,11.2327
2019-12-24,0.918
2019-12-26,-13.0279
2019-12-27,7.0975
2019-12-30,-7.2899
2019-12-31,3.8750999999999998
2020-01-02,8.2579
2020-01-03,-1.0371
2020-01-06,2.4341
2020-01-07,1.9802
2020-01-08,-7.6699
2020-01-09,-2.9793
2020-01-10,1.8064
2020-01-13,0.6033
2020-01-14,10.3704
2020-01-15,17.4497
2020-01-16,27.7823
2020-01-17,0.9157
2020-01-21,-5.6763
2020-01-22,5.806
2020-01-23,-7.7921
2020-01-24,-3.6689
2020-01-27,16.3056
2020-01-28,-6.5698
2020-01-29,-1.0077
2020-01-30,-1.1728
2020-01-31,-0.8285
2020-02-03,-2.7997
2020-02-04,-1.6028
2020-02-05,-24.457
2020-02-06,5.0313
2020-02-07,-10.7111
2020-02-10,4.2652
2020-02-11,-0.4794
2020-02-12,-3.4361
2020-02-13,0.2328
2020-02-14,0.4313
2020-02-18,2.8741
2020-02-19,0.5138
2020-02-20,-0.5112
2020-02-21,-3.6609
2020-02-24,-5.0
2020-02-25,-1.0877
2020-02-26,-14.4377
2020-02-27,-10.4892
2020-02-28,-8.4298
2020-03-02,-8.4471
2020-03-03,3.5359
2020-03-04,18.7834
2020-03-05,-4.8967
2020-03-06,-8.2664
2020-03-09,0.4119
2020-03-10,1.2308
2020-03-11,-20.3141
2020-03-12,-0.3814
2020-03-13,0.5105
2020-03-16,-6.9841
2020-03-17,-5.4608
2020-03-18,-14.3682
2020-03-19,11.8044
2020-03-20,13.8763
2020-03-23,4.3709
2020-03-24,3.6802
2020-03-25,1.9584000000000001
2020-03-26,15.1261
2020-03-27,1.9811999999999999
2020-03-30,1.8405
2020-03-31,6.7771
2020-04-01,-27.5505
2020-04-02,21.22
2020-04-03,-5.2998
2020-04-06,-4.4093
2020-04-07,-7.4512
2020-04-08,5.4952
2020-04-09,4.1187
2020-04-13,-1.5125
2020-04-14,1.8311
2020-04-15,-11.8329
2020-04-16,6.25
2020-04-17,-1.548
2020-04-20,0.8805
2020-04-21,1.1844999999999999
2020-04-22,5.3604
2020-04-23,-5.3801
2020-04-24,-0.2472
2020-04-27,3.5936
2020-04-28,-3.5885
2020-04-29,-2.3573
2020-04-30,-3.4943
2020-05-01,-6.7808
2020-05-04,4.1667
2020-05-05,1.4237
2020-05-06,3.008
2020-05-07,1.4925
2020-05-08,2.2379
2020-05-11,-2.1263
2020-05-12,-1.2141
2020-05-13,-2.7814
2020-05-14,-2.7279
2020-05-15,6.5663
2020-05-18,3.0167
2020-05-19,6.3551
2020-05-20,4.9795
2020-05-21,0.6696
2020-05-22,-0.2772
2020-05-26,0.6115
2020-05-27,-0.7182
2020-05-28,-0.6678
2020-05-29,2.409
2020-06-01,8.7527
2020-06-02,2.7666
2020-06-03,-9.5937
2020-06-04,0.5414
2020-06-05,9.0468
2020-06-08,4.4938
2020-06-09,2.1267
2020-06-10,7.404
2020-06-11,-8.4877
2020-06-12,1.3183
2020-06-15,5.3439
2020-06-16,-3.1319
2020-06-17,15.619299999999999
2020-06-18,11.343
2020-06-19,13.8309
2020-06-22,0.0
2020-06-23,2.082
2020-06-24,-10.9893
2020-06-25,10.0547
2020-06-26,-14.3878
2020-06-29,-3.4483
2020-06-30,9.0977
2020-07-01,-4.4108
2020-07-02,1.1175
2020-07-06,-2.7094
2020-07-07,-1.7589000000000001
2020-07-08,1.8277
2020-07-09,-2.967
2020-07-10,-3.8883
2020-07-13,8.209
2020-07-14,10.4174
2020-07-15,-11.2097
2020-07-16,0.7405
2020-07-17,0.294
2020-07-20,4.1041
2020-07-21,-1.0912
2020-07-22,-8.5053
2020-07-23,-1.9447999999999999
2020-07-24,-10.948
2020-07-27,4.2316
2020-07-28,1.0256
2020-07-29,-1.6074000000000002
2020-07-30,-2.0636
2020-07-31,-5.18
