ticker,ARLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-03,38.125
2018-08-06,-5.4299
2018-08-07,-4.5455
2018-08-08,4.411
2018-08-09,-8.0653
2018-08-10,5.0131
2018-08-13,-4.5748
2018-08-14,0.3127
2018-08-15,2.1299
2018-08-16,1.8311
2018-08-17,-3.1968
2018-08-20,1.6512
2018-08-21,4.8223
2018-08-22,4.0194
2018-08-23,5.8194
2018-08-24,-0.088
2018-08-27,1.6292
2018-08-28,-9.5321
2018-08-29,-8.8123
2018-08-30,3.8866
2018-08-31,-0.2528
2018-09-04,-0.8109
2018-09-05,-3.2192
2018-09-06,-3.6959
2018-09-07,-0.8772
2018-09-10,0.8296
2018-09-11,2.4136
2018-09-12,2.8388
2018-09-13,-6.8229
2018-09-14,-1.2856
2018-09-17,-1.0193
2018-09-18,-4.405
2018-09-19,-3.5907
2018-09-20,-6.5798
2018-09-21,-0.9967
2018-09-24,-3.8926
2018-09-25,-1.8855
2018-09-26,-3.6299
2018-09-27,5.3176
2018-09-28,1.7532
2018-10-01,0.0689
2018-10-02,-5.2342
2018-10-03,-3.4884
2018-10-04,0.9036
2018-10-05,-0.9701
2018-10-08,-1.7332
2018-10-09,1.7638
2018-10-10,-2.939
2018-10-11,-1.1646
2018-10-12,-0.9427
2018-10-15,1.0309
2018-10-16,0.8634
2018-10-17,-5.6809
2018-10-18,-0.0825
2018-10-19,-1.2386
2018-10-22,5.7692
2018-10-23,6.4032
2018-10-24,4.1605
2018-10-25,3.1384
2018-10-26,-12.3098
2018-10-29,3.1546
2018-10-30,-3.9755000000000003
2018-10-31,8.2006
2018-11-01,1.766
2018-11-02,-6.6522
2018-11-05,0.0
2018-11-06,5.3447
2018-11-07,0.8088
2018-11-08,0.5835
2018-11-09,-7.7592
2018-11-12,2.1226
2018-11-13,3.3102
2018-11-14,-2.608
2018-11-15,3.443
2018-11-16,-1.7751000000000001
2018-11-19,-2.3343
2018-11-20,-3.3924
2018-11-21,-0.6385
2018-11-23,-0.8032
2018-11-26,2.4291
2018-11-27,-2.0553
2018-11-28,0.0
2018-11-29,-2.502
2018-11-30,-0.4139
2018-12-03,-22.8595
2018-12-04,-5.1724
2018-12-06,1.7045
2018-12-07,1.0056
2018-12-10,6.0841
2018-12-11,2.8154
2018-12-12,-3.3468999999999998
2018-12-13,1.1542
2018-12-14,2.3859
2018-12-17,-1.5198
2018-12-18,0.823
2018-12-19,-0.9184
2018-12-20,-1.7508
2018-12-21,-1.4675
