ticker,CTPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-08,0.0
2010-12-09,-0.4615
2010-12-10,0.0
2010-12-13,0.7728
2010-12-14,1.6104
2010-12-15,0.3019
2010-12-16,0.4515
2010-12-17,-0.3745
2010-12-20,2.4812
2010-12-21,0.7337
2010-12-22,3.4232
2010-12-23,2.1127
2010-12-27,-1.5862
2010-12-28,0.2102
2010-12-29,0.7692
2010-12-30,7.6336
2010-12-31,1.5474
2011-01-03,-1.5873
2011-01-04,-3.4194
2011-01-05,-1.2024
2011-01-06,2.096
2011-01-07,0.0
2011-01-10,0.9272
2011-01-11,-1.3780000000000001
2011-01-12,0.2661
2011-01-13,0.5309
2011-01-14,2.245
2011-01-18,2.065
2011-01-19,-2.0873
2011-01-20,-0.646
2011-01-21,-0.8453
2011-01-24,0.6557
2011-01-25,-0.456
2011-01-26,1.767
2011-01-27,0.3215
2011-01-28,-0.641
2011-01-31,0.1935
2011-02-01,0.7735
2011-02-02,0.6382
2011-02-03,0.6341
2011-02-04,0.821
2011-02-07,0.1252
2011-02-08,-0.6875
2011-02-09,0.6923
2011-02-10,-1.1875
2011-02-11,0.7274
2011-02-14,0.2198
2011-02-15,-0.7519
2011-02-17,-0.5682
2011-02-18,-0.9524
2011-02-22,0.8974
2011-02-23,-0.8895
2011-02-24,1.1859
2011-02-25,-1.172
2011-02-28,-0.4167
2011-03-01,0.7403
2011-03-02,-0.1917
2011-03-03,-1.4725
2011-03-04,-0.13
2011-03-07,0.1952
2011-03-08,-0.6494
2011-03-09,0.7843
2011-03-10,-0.9079
2011-03-11,0.7853
2011-03-14,-0.3247
2011-03-15,-0.0651
2011-03-16,-0.9778
2011-03-17,-0.3292
2011-03-18,-0.7266
2011-03-21,0.499
2011-03-22,-3.3433
2011-03-23,1.9863
2011-03-24,-2.6184
2011-03-25,-0.1388
2011-03-28,0.0682
2011-03-29,-0.5512
2011-03-30,-1.1103
2011-03-31,-0.7018
2011-04-01,-1.0592
2011-04-04,-2.5009
2011-04-05,0.0733
2011-04-06,0.8785
2011-04-07,1.0885
2011-04-08,0.0
2011-04-11,0.5025
2011-04-12,0.2857
2011-04-13,-0.2137
2011-04-14,-1.9986000000000002
2011-04-15,0.6555
2011-04-18,0.5789
2011-04-19,-0.0719
2011-04-20,0.432
2011-04-21,0.9749
2011-04-25,-3.1663
2011-04-26,3.0792
2011-04-27,0.569
2011-04-28,-1.9095
2011-04-29,1.2978
2011-05-02,0.0
2011-05-03,-1.3523
