ticker,INTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.0239
2000-01-04,8.1081
2000-01-05,1.25
2000-01-06,0.0
2000-01-07,1.2346
2000-01-10,-3.6585
2000-01-11,2.5316
2000-01-13,-2.4691
2000-01-14,-1.2658
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,-1.9231
2000-01-21,-0.6536
2000-01-24,-2.6316
2000-01-25,-6.7568
2000-01-26,3.6231999999999998
2000-01-27,-7.6923
2000-01-28,4.5455
2000-01-31,-4.3478
2000-02-01,-6.0606
2000-02-02,4.8387
2000-02-03,6.1538
2000-02-04,0.0
2000-02-07,-4.3478
2000-02-08,0.0
2000-02-09,7.5758
2000-02-10,2.8169
2000-02-11,20.5479
2000-02-14,11.3636
2000-02-15,1.0204
2000-02-16,47.4747
2000-02-17,36.9863
2000-02-18,-20.5
2000-02-22,5.6604
2000-02-23,-9.5238
2000-02-24,-9.2105
2000-02-25,24.6377
2000-02-28,5.814
2000-02-29,-5.4945
2000-03-01,-8.1395
2000-03-02,0.3165
2000-03-03,-6.6246
2000-03-06,-2.027
2000-03-07,-5.5172
2000-03-08,43.0657
2000-03-09,-17.3469
2000-03-10,-2.4691
2000-03-13,-6.962
2000-03-14,-4.7619
2000-03-15,2.1429
2000-03-16,-8.7413
2000-03-17,-2.682
2000-03-20,-14.9606
2000-03-21,-11.1111
2000-03-22,22.9167
2000-03-23,-11.0169
2000-03-24,-1.9048
2000-03-27,-10.6796
2000-03-28,2.1739
2000-03-29,-2.1277
2000-03-30,-12.5
2000-03-31,-0.6211
2000-04-03,5.0
2000-04-04,-17.8571
2000-04-05,10.1449
2000-04-06,7.8947
2000-04-07,9.7561
2000-04-10,1.1111
2000-04-11,-9.8901
2000-04-12,0.6098
2000-04-13,-13.3333
2000-04-14,-18.8811
2000-04-17,17.2414
2000-04-18,28.6765
2000-04-19,14.2857
2000-04-20,-2.0
2000-04-24,-12.2449
2000-04-25,6.9767
2000-04-26,-6.5217
2000-04-27,9.3023
2000-04-28,-6.383
2000-05-01,0.0
2000-05-02,-5.6818
2000-05-03,-6.6265
2000-05-04,7.0968
2000-05-05,-6.6265
2000-05-08,5.8065
2000-05-09,-4.878
2000-05-10,-0.641
2000-05-11,0.0
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,7.0968
2000-05-17,-1.2048
2000-05-18,-3.6585
2000-05-19,-1.8987
2000-05-22,0.0
2000-05-23,-10.3226
2000-05-24,-11.5108
2000-05-25,0.813
