ticker,MDJH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-08,-6.0
2019-01-09,21.7021
2019-01-10,-6.4685
2019-01-11,-0.9346
2019-01-14,-21.5094
2019-01-15,-6.5024
2019-01-16,-1.2727
2019-01-17,-3.6458
2019-01-18,-1.3514
2019-01-22,1.3699
2019-01-23,-3.7838000000000003
2019-01-24,3.3708
2019-01-25,-8.9674
2019-01-28,-4.7761
2019-01-29,0.0
2019-01-30,11.598700000000001
2019-01-31,1.1236
2019-02-01,29.0444
2019-02-04,10.4271
2019-02-05,-21.2456
2019-02-06,2.2252
2019-02-07,-4.3584
2019-02-08,-2.8076
2019-02-11,-3.6231999999999998
2019-02-12,3.2162
2019-02-13,0.5237
2019-02-14,0.547
2019-02-15,3.3679
2019-02-19,1.5038
2019-02-20,-1.8444
2019-02-21,-2.4728
2019-02-22,0.5958
2019-02-25,2.8179
2019-02-26,-0.2494
2019-02-27,-2.25
2019-02-28,6.4015
2019-03-01,-1.4494
2019-03-04,-2.9268
2019-03-05,7.2312
2019-03-06,-3.2288
2019-03-07,3.632
2019-03-08,-8.411200000000001
2019-03-11,0.0
2019-03-12,-4.3367
2019-03-13,1.3333
2019-03-14,-0.5579
2019-03-15,0.3043
2019-03-18,-2.1054
2019-03-19,3.4605
2019-03-20,-3.3577
2019-03-21,1.3127
2019-03-22,0.0346
2019-03-25,-4.7872
2019-03-26,-1.6760000000000002
2019-03-27,0.1449
2019-03-28,-1.8468
2019-03-29,0.0029
2019-04-01,4.0432
2019-04-02,2.7778
2019-04-03,-2.1622
2019-04-04,5.3149
2019-04-05,-6.8828
2019-04-08,-2.169
2019-04-09,-7.2848
2019-04-10,-3.3323
2019-04-11,6.0173
2019-04-12,0.303
2019-04-15,-0.3021
2019-04-16,0.0
2019-04-17,-2.4242
2019-04-18,0.9317
2019-04-22,3.3846
2019-04-23,-2.7887
2019-04-24,3.4871
2019-04-25,-6.2156
2019-04-26,2.205
2019-04-30,-4.321
2019-05-01,4.8387
2019-05-02,-7.0769
2019-05-03,-0.3311
2019-05-06,-8.6379
2019-05-07,1.8182
2019-05-08,2.8571
2019-05-09,0.5729
2019-05-13,2.5375
2019-05-14,-0.6734
2019-05-15,9.8305
2019-05-16,-7.716
2019-05-17,3.3579
2019-05-20,-16.5157
2019-05-21,10.8527
2019-05-23,-19.9301
2019-05-24,13.9738
2019-05-30,0.0
2019-05-31,-5.7471
2019-06-03,15.8537
2019-06-04,-22.4211
2019-06-05,3.573
