ticker,DADA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-05,-0.0625
2020-06-08,6.3164
2020-06-09,-5.6471
2020-06-10,-4.9252
2020-06-11,-3.2787
2020-06-12,0.0
2020-06-15,1.6949
2020-06-16,11.6667
2020-06-17,20.1194
2020-06-18,11.6799
2020-06-19,-1.5575999999999999
2020-06-22,-8.9964
2020-06-23,9.0412
2020-06-24,-4.7836
2020-06-25,17.6555
2020-06-26,1.4233
2020-06-29,-15.3168
2020-06-30,5.5870999999999995
2020-07-01,3.8117
2020-07-02,13.9525
2020-07-06,4.9658999999999995
2020-07-07,-5.1643
2020-07-08,13.4044
2020-07-09,8.865
2020-07-10,-4.8735
2020-07-13,-9.9222
2020-07-14,-3.9596999999999998
2020-07-15,10.4948
2020-07-16,-9.7693
2020-07-17,1.2406
2020-07-20,1.4853
2020-07-21,2.049
2020-07-22,-3.227
2020-07-23,-5.1871
2020-07-24,-10.4338
2020-07-27,-4.4939
2020-07-28,4.0201
2020-07-29,3.3816
2020-07-30,-1.2744
2020-07-31,-0.3873
