ticker,ZUO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-12,42.8571
2018-04-13,3.0
2018-04-16,0.0
2018-04-17,-5.0971
2018-04-18,0.0512
2018-04-19,0.4601
2018-04-20,0.3562
2018-04-23,1.4199
2018-04-24,-1.5
2018-04-25,-0.4569
2018-04-26,3.4166
2018-04-27,-3.3037
2018-04-30,-1.7848000000000002
2018-05-01,2.1288
2018-05-02,-0.4067
2018-05-03,0.3573
2018-05-04,-0.5595
2018-05-07,-1.5345
2018-05-08,1.3506
2018-05-09,1.4352
2018-05-10,1.2633
2018-05-11,0.5988
2018-05-14,-1.3393
2018-05-15,-3.3685
2018-05-16,0.7284
2018-05-17,1.7045
2018-05-18,-0.1016
2018-05-21,-0.2034
2018-05-22,0.5094
2018-05-23,1.4192
2018-05-24,4.9975000000000005
2018-05-25,1.8563
2018-05-29,-3.4112
2018-05-30,6.1442
2018-05-31,1.0939
2018-06-01,19.0261
2018-06-04,6.1364
2018-06-05,1.8558
2018-06-06,5.8164
2018-06-07,-7.947
2018-06-08,5.1439
2018-06-11,7.8686
2018-06-12,-8.0241
2018-06-13,2.5517
2018-06-14,5.38
2018-06-15,10.4978
2018-06-18,7.1037
2018-06-19,-9.6522
2018-06-20,-4.4763
2018-06-21,-8.8097
2018-06-22,-5.31
2018-06-25,3.7627
2018-06-26,-4.219
2018-06-27,-1.8566
2018-06-28,5.0816
2018-06-29,-3.9887
2018-07-02,4.7426
2018-07-03,-0.5967
2018-07-05,-5.5791
2018-07-06,-1.6080999999999999
2018-07-09,-0.9122
2018-07-10,-4.9482
2018-07-11,-2.0985
2018-07-12,6.7189
2018-07-13,-0.7725
2018-07-16,-4.9825
2018-07-17,8.8898
2018-07-18,2.2573
2018-07-19,-5.0405
2018-07-20,-2.0922
2018-07-23,5.0257
2018-07-24,-4.8606
2018-07-25,4.198
2018-07-26,-1.0642
2018-07-27,-3.496
2018-07-30,-8.7182
2018-07-31,6.9778
2018-08-01,0.2038
2018-08-02,5.0854
2018-08-03,-2.5164999999999997
2018-08-06,11.1994
2018-08-07,-2.1429
2018-08-08,-2.4453
2018-08-09,5.4994
2018-08-10,0.8156
2018-08-13,3.3415
2018-08-14,4.0504
2018-08-15,-1.8646
2018-08-16,1.1333
2018-08-17,-3.9222
2018-08-20,-2.916
2018-08-21,1.7668
2018-08-22,3.1944
2018-08-23,1.5141
2018-08-24,10.6397
2018-08-27,5.1528
2018-08-28,-7.8632
2018-08-29,3.2777
2018-08-30,1.8263
