ticker,ATOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,0.0
2000-01-20,0.0
2000-02-03,350.0
2000-02-07,-77.7778
2000-03-09,0.0
2000-03-10,0.0
2000-03-30,400.0
2000-03-31,0.0
2000-04-04,60.0
2000-04-14,-50.0
2000-04-28,-75.0
2000-05-05,75.0
2000-08-16,185.7143
2000-09-01,0.0
2000-09-05,-80.0
2000-10-09,0.0
2000-10-25,0.0
2000-10-26,0.0
2000-11-02,-50.0
2000-11-14,900.0
2001-01-08,-76.0
2001-01-25,0.0
2001-02-20,-16.6667
2001-02-22,20.0
2001-04-05,4.1667
2001-04-09,2.0
2001-04-12,1.9607999999999999
2001-04-19,1.9231
2001-04-25,5.6604
2001-05-21,3.5714
2001-05-25,-1.7241
2001-06-27,8.7719
2001-08-15,-3.2258
2001-09-21,3.3333
2001-10-16,-9.6774
2001-10-26,-7.1429
2001-10-29,-7.6923
2001-11-06,8.3333
2001-11-07,7.6923
2001-12-05,7.1429
2001-12-24,3.3333
2002-01-15,3.2258
2002-01-24,-3.125
2002-01-25,3.2258
2002-01-28,-12.5
2002-01-30,17.8571
2002-02-11,0.0
2002-02-15,-21.2121
2002-02-19,26.9231
2002-02-22,0.0
2002-03-05,0.0
2002-03-26,0.0
2002-04-03,6.0606
2002-04-15,-8.5714
2002-04-17,6.25
2002-04-26,2.9412000000000003
2002-05-09,-2.8571
2002-05-21,0.0
2002-06-17,1.4706000000000001
2002-06-18,-7.2464
2002-06-28,21.875
2002-07-24,-17.9487
2002-07-25,6.25
2002-07-29,17.647100000000002
2002-08-07,-1.0
2002-09-09,1.0101
2002-09-25,4.0
2002-10-17,-17.3077
2002-10-18,20.9302
2002-10-30,0.0
2002-11-20,0.0
2003-02-26,-71.1538
2003-02-28,3.3333
2003-03-03,12.9032
2003-04-03,28.5714
2003-04-15,-11.1111
2003-05-23,-25.0
2003-05-27,8.3333
2003-05-28,-8.3077
2003-06-16,-32.8859
2003-06-17,100.0
2003-12-17,-87.5
2004-01-16,200.0
2004-01-23,0.0
2004-02-17,-33.3333
2004-02-20,50.0
2004-03-23,13.3333
2004-04-26,-35.2941
2004-04-29,36.3636
2004-06-10,16.6667
2004-07-30,-8.5714
2004-08-23,12.5
2004-09-27,-16.6667
2004-10-25,20.0
2004-11-12,-19.4444
2004-11-15,24.1379
2004-11-23,-5.5556
2004-11-24,32.3529
2005-01-19,-22.2222
2005-01-24,0.0
2005-02-10,16.0
2005-02-11,-0.9852
