ticker,GPEOL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-09,0.0
2014-05-21,0.0
2014-06-11,-3.3333
2014-07-25,27.5862
2014-07-30,0.0
2014-08-04,2.7027
2014-08-26,7.4737
2014-08-29,-0.8325
2014-09-10,32.0988
2015-02-02,-28.0374
2015-02-17,0.0
2015-02-27,105.1948
2015-04-15,-15.1899
2016-05-26,-13.4328
2016-06-13,-0.8621
2016-11-02,-4.3478
2016-12-19,3.6364
2017-02-28,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-08-18,-0.0877
2017-08-24,-1.6681
2017-10-24,0.8929
2017-11-13,0.0
2018-01-10,0.0
2018-03-02,0.0
2018-04-18,0.0
2018-05-10,0.0
