ticker,SAIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-17,-1.9407999999999999
2013-09-18,-0.7463
2013-09-19,-3.5305999999999997
2013-09-20,0.9488
2013-09-23,0.7049
2013-09-24,0.6
2013-09-25,2.717
2013-09-26,9.6774
2013-09-27,3.6765
2013-09-30,-4.2553
2013-10-01,0.1481
2013-10-02,-1.9231
2013-10-03,1.629
2013-10-04,-2.7605
2013-10-07,0.2442
2013-10-08,-1.0658
2013-10-09,1.1388
2013-10-10,2.1302
2013-10-11,-0.2103
2013-10-14,1.0539
2013-10-15,-0.1192
2013-10-16,-0.3282
2013-10-17,0.2095
2013-10-18,0.2389
2013-10-21,0.9535
2013-10-22,1.0921
2013-10-23,1.1971
2013-10-24,0.7501
2013-10-25,0.7446
2013-10-28,2.6151
2013-10-29,0.0
2013-10-30,0.6094
2013-10-31,-2.9459999999999997
2013-11-01,0.539
2013-11-04,0.3104
2013-11-05,0.1688
2013-11-06,-0.6178
2013-11-07,2.1192
2013-11-08,0.166
2013-11-11,0.7459
2013-11-12,0.5484
2013-11-13,4.6632
2013-11-14,0.6774
2013-11-15,0.2329
2013-11-18,-1.2652
2013-11-19,0.2354
2013-11-20,0.7566
2013-11-21,1.0616
2013-11-22,-0.948
2013-11-25,-0.4656
2013-11-26,-4.9636
2013-11-27,2.2696
2013-11-29,-1.4706000000000001
2013-12-02,-0.1085
2013-12-03,-5.5691
2013-12-04,-2.5029
2013-12-05,1.7704
2013-12-06,-0.174
2013-12-09,-3.5434
2013-12-10,3.7037
2013-12-11,3.5134
2013-12-12,-2.4404
2013-12-13,-3.0765
2013-12-16,-4.9837
2013-12-17,0.2498
2013-12-18,-3.6437
2013-12-19,0.4202
2013-12-20,1.2873999999999999
2013-12-23,0.4449
2013-12-24,-0.4429
2013-12-26,2.0019
2013-12-27,0.3115
2013-12-30,0.7143
2013-12-31,1.9735
2014-01-02,-1.3003
2014-01-03,3.2782
2014-01-06,-0.1483
2014-01-07,2.6441
2014-01-08,1.4182000000000001
2014-01-09,1.7123
2014-01-10,1.2346
2014-01-13,0.9978
2014-01-14,1.6869
2014-01-15,0.7615
2014-01-16,0.135
2014-01-17,-0.566
2014-01-21,1.9245999999999999
2014-01-22,1.0904
2014-01-23,0.6577
2014-01-24,-1.6989
2014-01-27,-2.6589
2014-01-28,0.4917
2014-01-29,-0.2175
2014-01-30,1.471
2014-01-31,-0.6443
2014-02-03,-2.8101000000000003
2014-02-04,1.5013
2014-02-05,-1.5064
