ticker,PHOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-06,2.6316
2007-07-10,-1.2821
2007-07-11,0.0
2007-07-12,-2.5974
2007-07-13,0.0
2007-07-19,-1.3333
2007-07-20,-5.4054
2007-07-23,-11.4286
2007-07-24,9.645199999999999
2007-07-31,2.9715
2007-08-01,-2.8857
2007-08-02,-2.9126
2007-08-03,0.0
2007-08-07,0.0
2007-08-09,6.0606
2007-08-10,-3.0
2007-08-15,1.62
2007-08-30,0.0
2007-09-05,1.4493
2007-09-18,-4.2857
2007-09-19,0.0
2007-09-20,1.4925
2007-09-21,3.6765
2007-09-24,-0.7092
2007-09-25,0.0
2007-09-26,0.0
2007-09-27,5.7143
2007-10-08,0.2703
2007-10-10,1.0782
2007-10-11,-1.3333
2007-10-12,2.7027
2007-10-15,1.3158
2007-10-16,3.8961
2007-10-18,7.5
2007-10-19,-1.1628
2007-11-07,-1.7647
2007-11-08,1.7964
2007-11-13,0.0
2007-11-29,-1.1764999999999999
2007-11-30,0.2381
2007-12-06,-0.2375
2007-12-18,-2.3810000000000002
2007-12-31,2.439
2008-01-08,-14.2857
2008-01-09,-2.0833
2008-01-10,0.0
2008-01-11,-0.8511
2008-01-16,-2.7182
2008-01-29,-7.3529
2008-01-31,0.7937
2008-02-01,0.0
2008-02-04,-2.3622
2008-02-11,-1.6129
2008-02-12,-1.6393
2008-02-14,-2.5
2008-02-19,3.4188
2008-02-22,-2.6087
2008-02-26,-0.0357
2008-02-27,1.8221
2008-02-28,-4.9123
2008-02-29,-0.369
2008-03-03,1.8519
2008-03-04,-1.8182
2008-03-06,0.0
2008-03-17,-7.4074
2008-03-18,8.0
2008-03-24,-7.4074
2008-03-26,0.0
2008-03-31,7.96
2008-04-09,-0.8892
2008-04-14,-8.411200000000001
2008-04-15,2.0408
2008-04-16,8.0
2008-04-17,0.1852
2008-04-18,-2.9575
2008-04-22,2.8571
2008-04-23,0.3704
2008-04-24,-0.1845
2008-04-25,0.0
2008-04-28,6.8392
2008-04-29,12.4567
2008-04-30,7.6923
2008-05-01,1.4571
2008-05-02,3.4074999999999998
2008-05-06,-1.9607999999999999
2008-05-07,-4.8611
2008-05-08,6.5693
2008-05-09,-1.3699
2008-05-12,-1.3889
2008-05-14,19.0141
2008-05-15,-3.5503
2008-05-16,-1.8405
2008-05-19,0.0
2008-05-20,6.25
2008-05-21,-1.1059
2008-05-22,-0.0714
2008-05-23,1.1905000000000001
2008-05-27,3.5294
2008-05-28,0.0
