ticker,SIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-12,-3.8462
2010-05-13,0.0
2010-05-14,-0.5333
2010-05-17,-0.4021
2010-05-18,-1.2113
2010-05-19,-0.545
2010-05-20,-1.3699
2010-05-21,0.6944
2010-05-24,-2.069
2010-05-25,-1.4085
2010-05-26,0.2857
2010-05-27,2.5641
2010-05-28,-2.7778
2010-06-01,0.0
2010-06-02,-1.4285999999999999
2010-06-03,-0.3623
2010-06-04,-5.4545
2010-06-07,2.3077
2010-06-08,0.7519
2010-06-09,1.4925
2010-06-10,0.0
2010-06-11,0.7353
2010-06-14,3.6496
2010-06-15,2.1127
2010-06-16,-0.4138
2010-06-17,-0.277
2010-06-18,0.6944
2010-06-21,0.6621
2010-06-22,-1.3428
2010-06-23,1.6385
2010-06-24,-6.0942
2010-06-25,-0.3201
2010-06-28,-0.9077
2010-06-29,-0.9108
2010-06-30,0.0
2010-07-01,-1.8733
2010-07-02,0.0
2010-07-06,-3.0
2010-07-07,0.7498
2010-07-08,1.8605
2010-07-09,-0.2131
2010-07-12,0.0305
2010-07-13,2.6228
2010-07-14,0.8321
2010-07-15,0.3537
2010-07-16,0.0881
2010-07-19,-2.9343
2010-07-20,0.2418
2010-07-21,-0.4825
2010-07-22,0.0
2010-07-23,0.2424
2010-07-26,-0.1209
2010-07-27,-0.7264
2010-07-28,-0.7927
2010-07-29,-0.5839
2010-07-30,0.3709
2010-08-02,0.0924
2010-08-03,-0.3077
2010-08-04,0.0
2010-08-05,-0.0309
2010-08-06,0.3087
2010-08-09,0.554
2010-08-10,-0.8264
2010-08-11,-1.2685
2010-08-12,0.0031
2010-08-13,0.0313
2010-08-16,5.4062
2010-08-17,1.7195
2010-08-18,1.6322
2010-08-19,0.803
2010-08-20,0.7112
2010-08-23,0.9887
2010-08-24,-0.1958
2010-08-25,0.3363
2010-08-26,1.4245999999999999
2010-08-27,1.8176999999999999
2010-08-30,2.7049
2010-08-31,-0.4214
2010-09-01,3.3589
2010-09-02,4.8618
2010-09-03,-0.0244
2010-09-07,-2.3432
2010-09-08,0.7248
2010-09-09,0.1489
2010-09-10,0.5203
2010-09-13,1.3557000000000001
2010-09-14,2.5049
2010-09-15,0.8304
2010-09-16,0.2118
2010-09-17,4.4846
2010-09-20,-0.5618
2010-09-21,-0.5876
2010-09-22,0.1137
2010-09-23,-0.4995
2010-09-24,0.5021
2010-09-27,0.1362
2010-09-28,-0.2948
2010-09-29,0.2047
2010-09-30,-0.227
