ticker,MCFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-17,6.1333
2015-07-20,-5.0879
2015-07-21,3.5738
2015-07-22,0.0
2015-07-23,0.1278
2015-07-24,-0.0638
2015-07-27,-1.5326
2015-07-28,0.3243
2015-07-29,0.0646
2015-07-30,0.7752
2015-07-31,-1.9231
2015-08-03,1.9607999999999999
2015-08-04,0.1282
2015-08-05,-1.2164
2015-08-06,0.3889
2015-08-07,-2.2595
2015-08-10,0.7266
2015-08-11,-2.1639
2015-08-12,5.6971
2015-08-13,0.1268
2015-08-14,2.7866
2015-08-17,-3.8817
2015-08-18,-2.2436
2015-08-19,-0.5246
2015-08-20,-1.3184
2015-08-21,-0.2004
2015-08-24,1.071
2015-08-25,0.0
2015-08-26,1.2583
2015-08-27,-4.709
2015-08-28,-1.6472
2015-08-31,3.9777
2015-09-01,1.1409
2015-09-02,2.5879
2015-09-03,-1.8758
2015-09-04,-1.1865999999999999
2015-09-08,2.4016
2015-09-09,-2.3453
2015-09-10,1.8012000000000001
2015-09-11,-7.0118
2015-09-14,6.3425
2015-09-15,-7.886
2015-09-16,5.4676
2015-09-17,-1.8417
2015-09-18,-6.1154
2015-09-21,-3.6269
2015-09-22,-3.3794
2015-09-23,-0.7949
2015-09-24,-1.8429
2015-09-25,-0.6531
2015-09-28,-4.355
2015-09-29,16.1512
2015-09-30,-4.142
2015-10-01,-1.8519
2015-10-02,0.3931
2015-10-05,-0.6265
2015-10-06,5.7526
2015-10-07,-0.8942
2015-10-08,1.6541000000000001
2015-10-09,-1.5533000000000001
2015-10-12,-0.9767
2015-10-13,2.1244
2015-10-14,0.2972
2015-10-15,3.4815
2015-10-16,-1.718
2015-10-19,0.2913
2015-10-20,5.374
2015-10-21,-0.1378
2015-10-22,-2.6915
2015-10-23,3.9716
2015-10-26,-6.8213
2015-10-27,-3.6603
2015-10-28,5.1672
2015-10-29,-1.9508999999999999
2015-10-30,-2.9477
2015-11-02,0.6074
2015-11-03,4.4528
2015-11-04,0.8671
2015-11-05,-1.8625
2015-11-06,5.1095
2015-11-09,0.6944
2015-11-10,0.8966
2015-11-11,-5.6049
2015-11-12,-1.8827
2015-11-13,1.6236000000000002
2015-11-16,-1.4524
2015-11-17,0.5158
2015-11-18,1.0264
2015-11-19,-3.9913
2015-11-20,3.4769
2015-11-23,3.0679
2015-11-24,0.2835
2015-11-25,0.9187
2015-11-27,-1.1905000000000001
2015-11-30,1.7008999999999999
2015-12-01,1.115
2015-12-02,-0.9649
