ticker,FIVN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-04,9.1429
2014-04-07,-6.9372
2014-04-08,-0.1406
2014-04-09,0.2817
2014-04-10,2.1067
2014-04-11,1.3755
2014-04-14,-0.1357
2014-04-15,5.9783
2014-04-16,-0.8974
2014-04-17,-2.3286
2014-04-21,-5.5629
2014-04-22,3.6466
2014-04-23,-2.0298
2014-04-24,-2.6243
2014-04-25,-1.4184
2014-04-28,-5.3237
2014-04-29,6.079
2014-04-30,2.149
2014-05-01,-0.7013
2014-05-02,-1.1299
2014-05-05,0.5714
2014-05-06,-2.983
2014-05-07,-4.0996
2014-05-08,-9.0076
2014-05-09,-6.7114
2014-05-12,3.2374
2014-05-13,-2.439
2014-05-14,1.4285999999999999
2014-05-15,2.8169
2014-05-16,-2.3973
2014-05-19,6.1404
2014-05-20,10.4132
2014-05-21,0.5988
2014-05-22,1.4881
2014-05-23,-1.173
2014-05-27,-1.4837
2014-05-28,2.4096
2014-05-29,3.5294
2014-05-30,6.392
2014-06-02,-1.4686
2014-06-03,-3.523
2014-06-04,-1.1236
2014-06-05,1.4205
2014-06-06,3.6414999999999997
2014-06-09,8.5135
2014-06-10,-0.6227
2014-06-11,0.3759
2014-06-12,-0.7491
2014-06-13,-0.8805
2014-06-16,0.2538
2014-06-17,0.2532
2014-06-18,-0.6313
2014-06-19,-0.7624
2014-06-20,-6.9142
2014-06-23,-5.0894
2014-06-24,0.1449
2014-06-25,-3.4732
2014-06-26,0.8996
2014-06-27,-0.4458
2014-06-30,7.4627
2014-07-01,-5.9722
2014-07-02,-0.4431
2014-07-03,3.5608
2014-07-07,0.8596
2014-07-08,-1.2784
2014-07-09,-0.7194
2014-07-10,-0.2899
2014-07-11,-1.4535
2014-07-14,3.2448
2014-07-15,-0.8571
2014-07-16,0.4323
2014-07-17,0.2869
2014-07-18,3.7196
2014-07-21,1.931
2014-07-22,3.3829000000000002
2014-07-23,-3.534
2014-07-24,-0.9498
2014-07-25,6.9863
2014-07-28,-0.7682
2014-07-29,-0.6452
2014-07-30,0.3896
2014-07-31,-5.8215
2014-08-01,-0.6868
2014-08-04,5.3942
2014-08-05,-13.6483
2014-08-06,-2.4316
2014-08-07,-5.7632
2014-08-08,2.4793
2014-08-11,1.4516
2014-08-12,0.6359
2014-08-13,0.316
2014-08-14,-2.8346
2014-08-15,0.0
2014-08-18,-0.3241
2014-08-19,-3.7398
2014-08-20,1.6892
2014-08-21,-1.1628
2014-08-22,1.5126
