ticker,RGNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-17,38.4091
2015-09-18,0.821
2015-09-21,-2.899
2015-09-22,-12.613199999999999
2015-09-23,-5.9117
2015-09-24,7.8335
2015-09-25,-5.4484
2015-09-28,-16.9268
2015-09-29,-5.973
2015-09-30,12.8586
2015-10-01,-13.7086
2015-10-02,16.728
2015-10-05,3.8756
2015-10-06,-3.6875999999999998
2015-10-07,5.4054
2015-10-08,-10.5128
2015-10-09,-1.958
2015-10-12,-6.0887
2015-10-13,-5.5498
2015-10-14,-1.7572999999999999
2015-10-15,5.4779
2015-10-16,-1.6958
2015-10-19,-7.8167
2015-10-20,2.1637
2015-10-21,-5.6669
2015-10-22,-8.0704
2015-10-23,-6.6007
2015-10-26,5.6537
2015-10-27,-1.806
2015-10-28,3.6104000000000003
2015-10-29,2.1696
2015-10-30,-0.5148
2015-11-02,6.3389
2015-11-03,4.1971
2015-11-04,5.2539
2015-11-05,-0.6101
2015-11-06,14.732099999999999
2015-11-09,2.4805
2015-11-10,2.1832
2015-11-11,6.7348
2015-11-12,0.4352
2015-11-13,0.5199
2015-11-16,-8.0172
2015-11-17,4.3112
2015-11-18,2.2462
2015-11-19,0.9886
2015-11-20,0.1088
2015-11-23,3.9548
2015-11-24,1.7559
2015-11-25,-0.1643
2015-11-27,1.9752999999999998
2015-11-30,-3.2688
2015-12-01,-1.4184
2015-12-02,-0.5501
2015-12-03,-0.5957
2015-12-04,-0.6849
2015-12-07,-5.9052
2015-12-08,1.1452
2015-12-09,-5.6612
2015-12-10,-6.433
2015-12-11,2.5141
2015-12-14,-6.6567
2015-12-15,3.6997
2015-12-16,-2.2234
2015-12-17,-1.5865
2015-12-18,-4.3525
2015-12-21,2.2472
2015-12-22,1.978
2015-12-23,0.8082
2015-12-24,-2.0844
2015-12-28,-2.2926
2015-12-29,-1.6200999999999999
2015-12-30,-2.2714
2015-12-31,-3.5445
2016-01-04,2.4096
2016-01-05,-0.5882
2016-01-06,-2.3669000000000002
2016-01-07,-11.0909
2016-01-08,-6.0668
2016-01-11,0.0
2016-01-12,-2.8302
2016-01-13,-6.5721
2016-01-14,-0.2398
2016-01-15,0.9615
2016-01-19,2.3016
2016-01-20,-1.8618999999999999
2016-01-21,-1.0277
2016-01-22,1.3578000000000001
2016-01-25,1.8913
2016-01-26,4.8724
2016-01-27,1.5487
2016-01-28,-4.9383
2016-01-29,6.1879
2016-02-01,-7.7698
2016-02-02,-0.858
2016-02-03,-2.9111000000000002
