ticker,AMRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.2632
2000-01-04,-2.7778
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,0.0
2000-01-12,2.8571
2000-01-13,0.0
2000-01-14,11.1111
2000-01-18,3.75
2000-01-20,1.2048
2000-01-21,4.7619
2000-01-24,0.0
2000-01-26,41.4773
2000-01-27,-6.0241
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,1.7094
2000-02-02,-2.521
2000-02-03,-14.6552
2000-02-04,13.1313
2000-02-07,-5.3571
2000-02-09,-3.7736
2000-02-10,-1.9607999999999999
2000-02-11,-3.0
2000-02-14,15.4639
2000-02-16,-5.3571
2000-02-17,5.1887
2000-02-22,0.0
2000-02-23,-9.417
2000-02-24,10.396
2000-02-25,-2.6906
2000-02-28,-6.9124
2000-02-29,-1.9802
2000-03-01,13.1313
2000-03-02,3.125
2000-03-03,0.4329
2000-03-06,-6.4655000000000005
2000-03-07,-13.3641
2000-03-08,0.0
2000-03-09,-6.383
2000-03-10,27.2727
2000-03-13,-17.8571
2000-03-14,-2.1739
2000-03-15,-2.2222
2000-03-16,10.2273
2000-03-17,-1.0309
2000-03-20,-0.5208
2000-03-21,-3.6649000000000003
2000-03-22,5.4348
2000-03-23,3.0928
2000-03-24,17.0
2000-03-27,4.7009
2000-03-28,-12.2449
2000-03-29,2.3256
2000-03-30,-0.9091
2000-03-31,-0.9174
2000-04-03,1.8519
2000-04-04,4.0909
2000-04-05,-3.9301
2000-04-07,5.4545
2000-04-10,-5.1724
2000-04-11,3.6364
2000-04-12,-2.193
2000-04-13,0.4484
2000-04-14,-17.8571
2000-04-17,11.9565
2000-04-18,8.7379
2000-04-19,5.3571
2000-04-20,-5.9322
2000-04-27,-5.4054
2000-04-28,10.4762
2000-05-01,-4.3103
2000-05-03,-5.8559
2000-05-04,7.177
2000-05-08,-6.6964
2000-05-09,-8.134
2000-05-10,18.2292
2000-05-11,5.7269
2000-05-12,0.4167
2000-05-15,-0.4149
2000-05-16,-7.9167
2000-05-17,-4.0724
2000-05-18,1.8868
2000-05-19,6.4815
2000-05-22,-9.5652
2000-05-23,2.8846
2000-05-24,0.9346
2000-05-30,3.7037
2000-06-02,4.4643
2000-06-05,-5.5556
2000-06-06,1.3575
2000-06-08,-2.6786
2000-06-09,0.0
2000-06-13,0.9174
2000-06-14,0.0
2000-06-19,1.3636
2000-06-22,-2.2422
2000-06-26,4.5872
2000-06-27,7.0175
2000-06-28,-8.1967
