ticker,FULC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-18,-15.625
2019-07-19,-7.037
2019-07-22,1.992
2019-07-23,1.6406
2019-07-24,1.8447
2019-07-25,0.0
2019-07-26,6.717
2019-07-29,5.3041
2019-07-30,-0.9402
2019-07-31,-6.1017
2019-08-01,6.426
2019-08-02,-12.8901
2019-08-05,-3.0374
2019-08-06,0.3213
2019-08-07,-3.5228
2019-08-08,3.7344
2019-08-09,-7.04
2019-08-12,-4.0448
2019-08-13,1.435
2019-08-14,-10.2564
2019-08-15,-8.7685
2019-08-16,-2.3758
2019-08-19,21.2389
2019-08-20,4.8358
2019-08-21,-1.1314
2019-08-22,2.2007
2019-08-23,-12.6615
2019-08-26,8.7771
2019-08-27,-1.4506000000000001
2019-08-28,-7.1757
2019-08-29,8.226
2019-08-30,-1.4652
2019-09-03,-3.2528
2019-09-04,5.5716
2019-09-05,4.0036
2019-09-06,4.7244
2019-09-09,-2.7569
2019-09-10,-3.7801
2019-09-11,1.875
2019-09-12,-4.908
2019-09-13,-7.8341
2019-09-16,-8.7
2019-09-17,3.5049
2019-09-18,-5.9259
2019-09-19,-3.8245
2019-09-20,1.4035
2019-09-23,0.1153
2019-09-24,-10.5991
2019-09-25,-2.7062
2019-09-26,1.8542999999999998
2019-09-27,-1.1703999999999999
2019-09-30,-12.6316
2019-10-01,0.9036
2019-10-02,-1.6418
2019-10-03,-1.6692
2019-10-04,2.9321
2019-10-07,-3.1484
2019-10-08,-10.6811
2019-10-09,-8.838799999999999
2019-10-10,1.3308
2019-10-11,-0.7505
2019-10-14,-3.5917
2019-10-15,-2.7451
2019-10-16,-3.8306
2019-10-17,-1.0482
2019-10-18,-3.178
2019-10-21,-2.407
2019-10-22,15.9193
2019-10-23,12.9594
2019-10-24,-0.5137
2019-10-25,2.4096
2019-10-28,1.8487
2019-10-29,4.7855
2019-10-30,-0.315
2019-10-31,-0.9479
2019-11-01,-2.5518
2019-11-04,-0.3273
2019-11-05,4.5977
2019-11-06,0.6279
2019-11-07,2.3401
2019-11-08,7.0122
2019-11-11,12.8205
2019-11-12,-0.5051
2019-11-13,0.2538
2019-11-14,-3.2911
2019-11-15,4.712
2019-11-18,0.875
2019-11-19,25.031
2019-11-20,20.5154
2019-11-21,4.0296
2019-11-22,10.83
2019-11-25,7.0613
2019-11-26,-9.9267
2019-11-27,2.7367
2019-11-29,-11.0871
2019-12-02,-0.5668
2019-12-03,0.0814
2019-12-04,-5.7771
2019-12-05,-5.3541
