ticker,TTNUF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-14,10.8696
2006-07-17,15.6863
2006-07-18,6.7797
2006-07-19,1.5873
2006-07-20,1.5625
2006-07-21,4.6154
2006-07-24,0.0
2006-07-25,4.4118
2006-07-26,-7.0423
2006-07-27,-1.5152
2006-07-28,7.6923
2006-07-31,0.0
2006-08-01,1.4285999999999999
2006-08-02,0.0
2006-08-03,1.4085
2006-08-04,0.0
2006-08-07,-4.1667
2006-08-08,-2.8986
2006-08-09,2.9851
2006-08-10,-20.2899
2006-08-11,16.3636
2006-08-14,-12.5
2006-08-15,0.0
2006-08-16,3.5714
2006-08-17,-1.7241
2006-08-18,-8.7719
2006-08-21,0.0
2006-08-22,-13.461500000000001
2006-08-23,-4.4444
2006-08-24,4.6512
2006-08-25,15.5556
2006-08-28,5.7692
2006-08-29,-3.6364
2006-08-30,16.9811
2006-08-31,1.6129
2006-09-01,0.0
2006-09-05,1.5873
2006-09-06,-10.9375
2006-09-07,0.0
2006-09-08,0.0
2006-09-11,-21.0526
2006-09-12,6.6667
2006-09-13,0.0
2006-09-14,-6.25
2006-09-15,11.1111
2006-09-18,2.0
2006-09-19,0.0
2006-09-20,-1.9607999999999999
2006-09-21,-10.0
2006-09-22,4.4444
2006-09-25,-10.6383
2006-09-26,28.5714
2006-09-27,1.8519
2006-09-28,-1.8182
2006-09-29,-1.8519
2006-10-02,1.8868
2006-10-03,0.0
2006-10-04,11.1111
2006-10-05,0.0
2006-10-06,-10.0
2006-10-09,12.963
2006-10-10,1.6393
2006-10-11,-3.2258
2006-10-12,-1.6667
2006-10-13,3.2203
2006-10-16,-3.1199
2006-10-17,-3.3898
2006-10-18,-5.2632
2006-10-19,1.8519
2006-10-20,9.0909
2006-10-23,0.0
2006-10-24,0.0
2006-10-25,0.0
2006-10-26,3.3333
2006-10-27,-1.6129
2006-10-30,-4.918
2006-10-31,3.4483
2006-11-01,-5.0
2006-11-02,0.8772
2006-11-03,-11.3043
2006-11-06,5.8824
2006-11-07,-5.5556
2006-11-08,-1.9607999999999999
2006-11-09,-8.0
2006-11-10,2.1739
2006-11-13,-2.1277
2006-11-14,0.0
2006-11-15,-2.1739
2006-11-16,6.6667
2006-11-17,6.25
2006-11-20,-9.8039
2006-11-21,6.5217
2006-11-22,4.0816
2006-11-24,-5.8824
2006-11-27,4.1667
2006-11-28,0.0
2006-11-29,4.0
2006-11-30,0.0
2006-12-01,5.7692
2006-12-04,-3.6364
2006-12-05,-9.434
