ticker,UPIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-22,5744.1558
2009-06-26,-94.8718
2009-06-29,0.0
2009-06-30,0.0
2009-07-02,0.0
2009-07-06,0.0
2009-07-07,0.0
2009-07-10,0.0
2009-07-20,0.0
2009-07-22,0.0
2009-07-24,0.0
2009-07-29,-20.0
2009-07-31,25.0
2009-08-05,0.0
2009-08-07,0.0
2009-08-10,0.0
2009-08-11,-4.0
2009-08-12,4.1667
2009-08-13,2.0
2009-08-14,0.0
2009-08-17,0.0
2009-08-20,-5.8824
2009-08-21,0.0
2009-08-26,2.0833
2009-08-27,2.0408
2009-08-28,4.0
2009-08-31,1.9231
2009-09-01,0.0
2009-09-02,0.0
2009-09-03,-1.8868
2009-09-08,1.9231
2009-09-09,0.0
2009-09-10,0.0
2009-09-11,2.8302
2009-09-15,0.9174
2009-09-18,-0.9091
2009-09-21,-4.5872
2009-09-25,1.9231
2009-09-30,5.6604
2009-10-01,1.7856999999999998
2009-10-02,0.0
2009-10-05,-1.7544
2009-10-06,3.5714
2009-10-07,1.7241
2009-10-08,0.0
2009-10-09,0.0
2009-10-12,-3.3898
2009-10-13,3.5088
2009-10-14,-1.6949
2009-10-15,0.0
2009-10-16,1.7241
2009-10-19,1.6949
2009-10-20,-1.6667
2009-10-21,1.6949
2009-10-22,-5.0
2009-10-23,-12.2807
2009-10-26,-4.0
2009-10-27,4.1667
2009-10-28,-58.0
2009-11-13,90.4762
2009-11-16,0.0
2009-11-19,37.5
2009-11-20,9.0909
2009-11-25,0.0
2009-11-27,-80.0
2009-11-30,400.0
2009-12-02,-53.3333
2009-12-08,110.7143
2009-12-09,0.0
2009-12-10,0.0
2009-12-14,-32.2034
2009-12-16,0.0
2010-01-08,15.0
2010-01-13,0.0
2010-01-26,30.4348
2010-01-27,-13.3333
2010-01-28,5.7692
2010-01-29,0.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,-0.9091
2010-02-12,2.7523
2010-02-16,-1.4285999999999999
2010-02-17,1.4493
2010-02-18,-5.3571
2010-02-19,0.0
2010-02-22,1.8868
2010-02-23,-2.7778
2010-02-24,6.6667
2010-02-25,-3.5714
2010-02-26,0.0
2010-03-01,0.0
2010-03-02,-3.7037
2010-03-03,0.0
2010-03-05,0.0
2010-03-08,0.0
2010-03-10,3.8462
2010-03-11,-5.5556
2010-03-12,1.9607999999999999
2010-03-16,-23.0769
2010-03-17,0.0
2010-03-18,40.0
2010-03-19,0.0
