ticker,EFOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-05-14,0.0
2002-05-15,-99.9833
2006-12-22,0.0
2007-02-28,0.0
2007-12-13,0.0
2007-12-14,0.0
2008-03-06,0.0
2009-02-09,0.0
2009-03-02,0.0
2009-03-26,0.0
2009-05-04,0.0
2009-05-11,0.0
2009-06-01,0.0
2009-07-17,0.0
2009-09-28,0.0
2009-11-23,0.0
2009-11-25,0.0
2009-12-01,0.0
2009-12-04,0.0
2009-12-10,0.0
2009-12-15,0.0
2010-05-26,0.0
2011-03-10,0.0
2015-09-01,0.0
2015-09-03,0.0
2015-10-08,0.0
2016-01-07,0.0
2016-01-14,0.0
2016-06-30,7900.0
2016-12-05,-98.75
2017-07-21,-99.2
2018-01-03,0.0
2018-09-28,900.0
2018-11-26,900.0
2018-11-30,-98.0
2019-05-13,-50.0
2019-05-14,0.0
2019-10-08,0.0
2019-12-03,9900.0
2020-01-07,-90.0
2020-06-25,-80.0
