ticker,EXDI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-22,-94.8453
2016-04-08,-34.4262
2016-04-20,-45.0
2016-04-28,0.0
2016-05-06,-9.0909
2016-05-16,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-08-26,-25.0
2016-08-31,86.6667
2016-09-14,-13.5714
2016-09-16,0.0
2016-09-19,0.0
2016-09-20,-2.4793
2016-09-21,-5.0847
2016-09-22,-8.9286
2016-09-23,0.0
2016-09-26,12.7451
2016-09-28,8.6957
2016-09-30,-8.0
2016-10-03,0.0
2016-10-04,-11.3043
2016-10-07,-11.7647
2016-10-12,-11.1111
2016-10-14,24.9844
2016-10-19,-39.9925
2016-10-21,0.0
2016-10-24,25.0
2016-11-03,-24.1667
2016-11-09,0.2198
2016-11-14,0.0
2016-12-05,31.5789
2016-12-12,-14.6667
2016-12-13,-6.25
2016-12-16,-33.3333
2016-12-19,87.5
2016-12-27,33.3333
2016-12-28,50.0
2017-01-03,-33.3333
2017-01-06,0.0
2017-01-31,-20.0
2017-02-01,0.0
2017-02-15,-12.5
2017-02-22,0.0
2017-02-27,42.8571
2017-03-20,-45.0
2017-03-21,9.0909
2017-03-24,-25.0
2017-03-28,33.3333
2017-03-29,-33.3333
2017-03-30,12.5
2017-03-31,-41.1111
2017-04-03,-24.5283
2017-04-05,25.0
2017-04-06,-16.0
2017-04-12,-2.8571
2017-04-21,7.8431
2017-04-26,127.2727
2017-04-27,0.0
2017-04-28,0.0
2017-05-01,-40.0
2017-05-31,65.6667
2017-06-01,-29.5775
2017-06-06,7.1429
2017-06-19,-20.0
2017-06-29,25.0
2017-06-30,73.3333
2017-07-07,-66.1538
2017-07-10,-13.6364
2017-07-14,156.8421
2017-07-17,-69.2623
2017-07-19,0.0
2017-07-24,100.0
2017-07-28,16.0
2017-07-31,-13.7931
2017-08-01,-34.3333
2017-08-10,1.5228000000000002
2017-08-15,50.0
2017-08-17,-66.6667
2017-08-18,100.0
2017-08-21,9.5
2017-08-24,-19.1781
2017-08-31,120.339
2017-09-01,-69.2051
2017-09-19,0.0
2017-09-20,0.0
2017-09-29,66.5279
2017-10-09,-35.0
2017-10-10,-35.2462
2017-10-13,-4.9656
2017-10-31,87.5
2017-11-28,33.3333
2018-01-17,0.0
2018-03-07,-40.0
2018-04-03,150.0
2018-04-04,-66.6667
2018-04-12,0.0
2018-05-18,10.0
2018-06-19,-9.0909
2018-06-20,-10.0
2018-06-21,-24.4444
2018-06-25,0.0
2018-06-26,25.0
