ticker,IWBB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-20,37.2549
2017-11-21,50.0
2017-12-28,42.8571
2018-01-17,0.0
2018-01-22,150.0
2018-01-24,33.3333
2018-02-01,-39.8
2018-02-05,61.1296
2018-02-06,3.0928
2018-02-12,-0.69
2018-02-14,3.7156000000000002
2018-02-16,1.165
2018-02-23,0.0
2018-02-27,0.0
2018-05-03,-23.2246
2018-05-07,0.0
2018-05-14,-12.5
2018-10-01,-7.1429
2018-10-03,-7.6923
2018-10-04,0.0
2018-10-05,-4.1667
2018-10-08,0.0
2018-10-10,-4.3478
2018-10-11,-9.0909
2018-10-15,-20.0
2018-10-17,0.0
2018-10-18,0.0
2018-10-23,0.0
2018-10-25,0.0
2018-10-26,0.0
2018-10-30,-6.25
2018-10-31,-6.6667
2018-11-02,-14.2857
2018-11-05,-16.6667
2018-11-07,-20.0
2018-11-12,0.0
2019-01-14,10.0
2019-04-26,6.8182
2019-10-17,0.0
2020-03-04,-14.8936
2020-03-05,25.0
2020-03-16,-20.0
