ticker,SKYL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-04-14,10.0
2004-04-26,13.6364
2004-05-11,0.0
2004-05-12,-8.0
2004-05-17,-21.7391
2004-05-19,33.3333
2004-05-20,0.0
2004-05-21,-4.1667
2004-05-24,21.7391
2004-05-25,-3.5714
2004-05-28,2.963
2004-06-01,-6.4748
2004-06-03,-22.3077
2004-06-04,28.7129
2004-06-07,7.6923
2004-06-08,0.0
2004-06-09,-21.4286
2004-06-10,31.8182
2004-06-14,-39.3103
2004-06-15,2.2727
2004-06-17,-11.1111
2004-06-18,0.0
2004-06-23,-6.25
2004-06-25,-20.0
2004-07-21,16.6667
2004-07-29,0.0
2004-08-03,-7.1429
2004-08-18,0.0
2004-09-14,-30.7692
2004-11-10,77.7778
2004-11-29,-27.5
2004-12-01,0.0
2005-01-10,0.0
2005-01-18,-1.7241
2005-01-26,31.5789
2005-02-01,-20.0
2005-02-03,25.0
2005-02-09,-32.0
2005-02-14,0.0
2005-02-15,0.0
2005-02-22,-1.9607999999999999
2005-03-07,-8.0
2005-03-16,41.3043
2005-03-30,-36.9231
2005-04-06,2.439
2005-04-12,7.1429
2005-04-14,22.2222
2005-04-25,5.4545
2005-05-25,-8.6207
2005-05-26,0.0
2005-05-27,32.0755
2005-05-31,71.4286
2005-06-01,-15.0
2005-06-02,-12.7451
2005-06-03,-15.7303
2005-06-06,9.3333
2005-06-07,-1.2195
2005-06-08,-23.4568
2005-06-09,-3.2258
2005-06-10,-8.3333
2005-06-13,3.6364
2005-06-14,-29.8246
2005-06-15,0.0
2005-06-16,27.5
2005-06-17,3.9215999999999998
2005-06-21,-5.6604
2005-06-22,-30.0
2005-06-23,14.2857
2005-06-27,-5.0
2005-06-28,5.2632
2005-06-29,-22.5
2005-06-30,77.4194
2005-07-01,-18.1818
2005-07-05,2.2222
2005-07-12,8.6957
2005-07-18,0.0
2005-07-25,-18.0
2005-07-26,-14.6341
2005-07-27,45.7143
2005-07-28,-1.9607999999999999
2005-07-29,130.0
2005-08-01,-40.8696
2005-08-02,32.3529
2005-08-08,-60.0
2005-08-09,41.6667
2005-08-10,47.0588
2005-08-11,-13.3333
2005-08-12,-7.6923
2005-08-16,8.3333
2005-08-17,29.2308
2005-08-23,-4.7619
2005-08-24,0.0
2005-08-25,-18.75
2005-08-26,30.7692
2005-08-31,-3.5294
2005-09-01,-31.7073
2005-09-02,-7.1429
2005-09-06,-13.461500000000001
2005-09-07,20.0
2005-09-08,-20.3704
