ticker,WYCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-11,-90.4762
2015-11-16,110.0
2015-12-23,0.0
2016-12-07,4185.7143
2017-08-31,-77.8889
2017-12-20,0.0
2018-01-25,-24.1206
2018-05-01,-13.9073
2018-05-02,53.8462
2018-06-14,50.0
2018-06-22,0.0
2018-06-27,-33.3333
2018-07-18,100.0
2018-07-27,-50.0
2018-08-23,5.0
2018-08-29,9.5238
2018-09-05,28.2609
2018-09-06,10.1695
2018-09-17,15.0769
2018-09-18,0.2674
2018-09-19,1.3333
2018-09-20,5.2632
2018-10-02,2.5
2018-10-03,-26.5854
2019-09-13,20.0816
2019-10-16,-33.3333
2020-04-09,-25.0
2020-04-29,25.0
2020-04-30,-46.6667
2020-07-17,75.0
