ticker,IPSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-06,1.8182
2016-06-07,0.0
2016-06-10,0.0
2016-06-15,0.0
2016-06-17,0.0
2016-06-20,0.0
2016-06-21,-1.7856999999999998
2016-06-23,-4.5455
2016-06-24,0.0
2016-06-27,1.9048
2016-06-28,-2.3364
2016-06-29,3.3493
2016-06-30,-2.7778
2016-07-05,0.0
2016-07-06,0.0
2016-07-11,-2.8571
2016-07-12,0.0
2016-07-14,0.9804
2016-07-15,1.9417
2016-07-18,0.0
2016-07-19,12.381
2016-07-20,6.7797
2016-07-21,-11.1111
2016-07-22,0.0
2016-07-25,-13.392900000000001
2016-07-26,-7.2165
2016-07-27,2.7778
2016-07-28,-3.7838000000000003
2016-07-29,-3.3708
2016-08-01,5.814
2016-08-02,4.3956
2016-08-03,0.0
2016-08-04,10.526299999999999
2016-08-05,-3.8095
2016-08-08,-2.9703
2016-08-09,0.0
2016-08-10,1.0204
2016-08-11,1.0101
2016-08-12,0.0
2016-08-15,-4.5
2016-08-16,-10.9948
2016-08-17,7.0588
2016-08-18,-6.5934
2016-08-19,-4.3382
2016-08-22,-11.3759
2016-08-23,1.8734
2016-08-24,15.7841
2016-08-25,4.7059
2016-08-26,1.1236
2016-08-30,-5.5556
2016-08-31,0.0
2016-09-02,0.0
2016-09-06,-11.7647
2016-09-07,-16.0
2016-09-08,33.3333
2016-09-12,-2.3810000000000002
2016-09-13,-2.439
2016-09-14,12.5
2016-09-15,-11.1111
2016-09-16,-6.25
2016-09-20,4.0
2016-09-22,2.5641
2016-09-27,-12.5
2016-09-28,0.0
2016-09-30,0.0
2016-10-04,0.0
2016-10-05,-21.4286
2016-10-06,27.2727
2016-10-07,-17.1607
2016-10-12,12.0931
2016-10-14,-15.3846
2016-10-17,5.4318
2016-10-18,19.8534
2016-10-19,-0.7194
2016-10-20,0.0
2016-10-21,-2.8986
2016-10-24,-8.209
2016-10-26,13.8211
2016-10-28,-21.4286
2016-10-31,8.1818
2016-11-01,15.7983
2016-11-02,-12.917300000000001
2016-11-03,0.0
2016-11-04,-16.6667
2016-11-07,4.0
2016-11-08,0.0
2016-11-09,-19.2308
2016-11-10,42.8571
2016-11-11,-13.3333
2016-11-14,-3.8462
2016-11-15,0.0
2016-11-17,-11.0
2016-11-18,-1.1236
2016-11-21,-13.6364
2016-11-22,31.5461
2016-11-23,6.0265
2016-11-25,0.0
2016-11-28,13.2075
2016-11-29,8.3333
2016-11-30,13.0769
2016-12-01,14.2857
