ticker,MTPP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-08-01,-99.9554
2003-09-10,0.0
2004-06-14,0.0
2004-06-24,0.0
2005-01-20,0.0
2005-04-29,-25.0
2005-12-22,42566.6667
2005-12-27,25.0
2005-12-29,0.0
2005-12-30,100.0
2006-01-04,50.0
2006-01-05,-50.0
2006-01-24,0.0
2006-02-24,33.3333
2006-02-27,-50.0
2006-02-28,100.0
2006-03-01,-75.0
2006-03-02,0.0
2006-03-06,40.0
2006-03-17,614.2857
2006-03-20,0.0
2006-04-05,-80.0
2006-04-06,0.0
2006-04-10,0.0
2006-04-12,500.0
2006-04-13,-91.6667
2006-04-20,0.0
2006-04-21,-80.0
2006-06-15,-90.0
2006-06-21,0.0
2006-09-13,0.0
2006-12-05,0.0
2006-12-15,0.0
2006-12-20,4900.0
2006-12-21,100.0
2006-12-27,-99.0
2007-02-01,-50.0
2007-02-23,19900.0
2007-04-25,-98.0
2007-06-13,400.0
2007-07-05,-90.0
2007-10-10,4900.0
2007-10-18,-50.0
2007-10-24,-16.0
2007-10-25,-9.5238
2007-10-26,163.1579
2008-03-27,-60.0
2008-04-11,-99.0625
2008-06-19,26566.6667
2008-07-31,-80.0
2008-08-19,-50.0
2008-08-22,-96.25
2008-08-26,-33.3333
2008-11-25,7900.0
2009-09-08,-98.75
2009-11-16,0.0
2009-12-29,0.0
2010-01-22,0.0
2015-06-08,700.0
2015-06-11,0.0
2015-06-25,0.0
2016-11-28,0.0
2016-12-19,-92.0
2019-03-05,-98.75
2019-05-14,0.0
2019-07-30,9900.0
2019-12-26,-99.0
2019-12-31,9900.0
2020-06-23,2900.0
2020-06-24,3233.3333
2020-06-25,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-21,-20.0
2020-07-30,-62.5
