ticker,FTMR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-26,108.5714
2007-11-27,-17.8082
2007-11-28,25.0
2007-11-29,0.0
2007-11-30,0.0
2007-12-03,12.0
2007-12-07,-1.1905000000000001
2007-12-10,-9.6386
2007-12-11,0.0
2007-12-13,0.0
2007-12-14,0.0
2007-12-17,-33.3333
2007-12-18,40.0
2007-12-19,-7.1429
2007-12-21,-15.3846
2007-12-31,9.0909
2008-01-02,-1.6667
2008-01-03,-23.7288
2008-01-04,-11.1111
2008-01-07,-5.0
2008-01-10,5.2632
2008-01-11,-5.0
2008-01-14,57.8947
2008-01-15,0.0
2008-01-16,8.3333
2008-01-17,0.0
2008-01-23,-7.6923
2008-01-24,0.0
2008-01-28,-15.0
2008-01-29,1.9607999999999999
2008-01-30,3.8462
2008-01-31,-5.5556
2008-02-01,-2.9412000000000003
2008-02-06,-9.0909
2008-02-07,22.2222
2008-02-12,0.0
2008-02-13,-9.0909
2008-02-20,-29.0
2008-03-03,54.9296
2008-03-07,-29.0909
2008-03-17,-8.9744
2008-04-08,0.0
2008-04-09,23.9437
2008-04-10,-4.5455
2008-04-11,4.7619
2008-04-14,-13.6364
2008-04-16,-7.8947
2008-04-17,11.4286
2008-04-25,0.0
2008-04-28,2.5641
2008-05-01,-8.75
2008-05-02,9.589
2008-05-09,-20.0
2008-05-20,-6.25
2008-06-02,0.0
2008-06-11,0.0
2008-06-12,0.0
2008-06-19,33.3333
2008-06-25,-12.5
2008-06-26,0.0
2008-06-27,0.0
2008-06-30,-8.5714
2008-07-07,9.375
2008-07-09,28.5714
2008-07-10,-13.3333
2008-07-15,-7.6923
2008-07-17,11.1111
2008-07-21,-1.25
2008-07-22,-1.2658
2008-07-23,-2.8205
2008-07-28,-12.9288
2008-07-30,-6.0606
2008-07-31,6.4516
2008-08-06,6.0606
2008-08-12,11.4286
2008-08-19,-10.2564
2008-08-28,5.7143
2008-08-29,-32.4324
2008-09-05,20.0
2008-09-09,-16.6667
2008-10-01,-20.0
2008-10-08,-50.0
2008-10-17,-50.0
2008-10-21,0.0
2008-11-03,60.0
2008-12-16,-68.75
2009-02-11,60.0
2009-02-20,-37.5
2009-03-23,0.0
2009-06-08,700.0
2009-06-10,-40.0
2009-06-25,-16.6667
2009-06-26,0.0
2009-09-09,0.0
2009-09-23,80.0
2009-10-26,11.1111
2009-10-28,20.0
2009-10-29,25.0
2009-11-25,-33.3333
2009-12-15,25.0
2010-03-05,-44.0
2010-04-16,78.5714
