ticker,LAND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-29,0.0
2013-01-30,-0.6667
2013-01-31,-1.8121
2013-02-01,2.529
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,-0.2
2013-02-07,-1.4696
2013-02-08,2.0339
2013-02-11,0.0664
2013-02-12,0.0664
2013-02-13,0.1991
2013-02-14,0.0664
2013-02-15,-1.858
2013-02-19,2.096
2013-02-20,-1.2583
2013-02-21,-0.0671
2013-02-22,1.3423
2013-02-25,-1.3245
2013-02-26,-0.2685
2013-02-27,-0.2019
2013-02-28,1.6183
2013-03-01,1.1944
2013-03-04,-2.2295
2013-03-05,2.6157
2013-03-06,-0.6536
2013-03-07,1.1184
2013-03-08,0.1952
2013-03-11,-0.1948
2013-03-12,-0.1301
2013-03-13,-0.2606
2013-03-14,1.1133
2013-03-15,-1.2306
2013-03-18,0.0
2013-03-19,0.3934
2013-03-20,0.196
2013-03-21,-0.5802
2013-03-22,0.1902
2013-03-25,0.8508
2013-03-26,-1.0383
2013-03-27,-1.6393
2013-03-28,3.4667
2013-04-01,1.7397
2013-04-02,0.38
2013-04-03,-0.6309
2013-04-04,0.6349
2013-04-05,2.082
2013-04-08,-0.5562
2013-04-09,-0.5594
2013-04-10,3.9375
2013-04-11,0.6013
2013-04-12,1.6139000000000001
2013-04-15,2.7647
2013-04-16,0.9159
2013-04-17,0.2836
2013-04-18,-0.4525
2013-04-19,-3.3753
2013-04-22,1.8354
2013-04-23,-0.407
2013-04-24,-1.4011
2013-04-25,0.5921
2013-04-26,-0.1766
2013-04-29,-4.4811
2013-04-30,1.8519
2013-05-01,-3.9394
2013-05-02,0.9464
2013-05-03,-0.0625
2013-05-06,-1.5009000000000001
2013-05-07,1.2698
2013-05-08,0.2508
2013-05-09,0.0625
2013-05-10,1.5625
2013-05-13,0.5538
2013-05-14,0.4284
2013-05-15,1.7671999999999999
2013-05-16,-0.0599
2013-05-17,1.3277
2013-05-20,0.0596
2013-05-21,1.0119
2013-05-22,1.2375
2013-05-23,-1.1641
2013-05-24,0.0
2013-05-28,-3.6513999999999998
2013-05-29,-2.934
2013-05-30,0.7557
2013-05-31,-4.4375
2013-06-03,3.0085
2013-06-04,-0.127
2013-06-05,1.0807
2013-06-06,0.3774
2013-06-07,3.3835
2013-06-10,-1.3333
2013-06-11,-1.7199
2013-06-12,2.0625
2013-06-13,0.6124
2013-06-14,1.6433
2013-06-17,1.0778
2013-06-18,1.9689999999999999
2013-06-19,-1.3458
