ticker,HAIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1173
2000-01-04,-4.8023
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,10.089
2000-01-10,3.7736
2000-01-11,-1.2987
2000-01-12,0.0
2000-01-13,1.5789
2000-01-14,0.0
2000-01-18,-0.5181
2000-01-19,0.5208
2000-01-20,2.0725
2000-01-21,-1.0152
2000-01-24,-1.7949000000000002
2000-01-25,0.0
2000-01-26,7.0496
2000-01-27,-1.2195
2000-01-28,-2.963
2000-01-31,0.7634
2000-02-01,-0.5051
2000-02-02,1.0152
2000-02-03,4.0201
2000-02-04,0.0
2000-02-07,2.657
2000-02-08,4.0
2000-02-09,4.9774
2000-02-10,0.2155
2000-02-11,0.6452
2000-02-14,0.4274
2000-02-15,2.5532
2000-02-16,0.0
2000-02-17,0.2075
2000-02-18,-0.207
2000-02-22,-0.4149
2000-02-23,0.4167
2000-02-24,1.6598000000000002
2000-02-25,8.3673
2000-02-28,4.5198
2000-02-29,5.9459
2000-03-01,1.0204
2000-03-02,-7.7440999999999995
2000-03-03,-5.4745
2000-03-06,-14.6718
2000-03-07,0.6787
2000-03-08,-1.573
2000-03-09,0.2283
2000-03-10,0.0
2000-03-13,-0.2278
2000-03-14,5.2511
2000-03-15,0.4338
2000-03-16,-6.2635
2000-03-17,-0.2304
2000-03-20,-3.6952
2000-03-21,0.0
2000-03-22,-3.3573
2000-03-23,0.0
2000-03-24,-3.7221
2000-03-27,1.2887
2000-03-28,0.2545
2000-03-29,3.5533
2000-03-30,4.4118
2000-03-31,6.338
2000-04-03,0.4415
2000-04-04,0.6593
2000-04-05,-1.31
2000-04-06,0.885
2000-04-07,2.8509
2000-04-10,2.3454
2000-04-11,6.0417
2000-04-12,-2.7504999999999997
2000-04-13,-0.202
2000-04-14,-4.4534
2000-04-17,-0.8475
2000-04-18,-1.9231
2000-04-19,1.0893
2000-04-20,-0.2155
2000-04-24,0.0
2000-04-25,-1.9438
2000-04-26,-4.185
2000-04-27,-0.9195
2000-04-28,-0.464
2000-05-01,0.0
2000-05-02,-1.3986
2000-05-03,8.2742
2000-05-04,-0.2183
2000-05-05,0.8753
2000-05-08,-1.3014999999999999
2000-05-09,1.978
2000-05-10,-21.5517
2000-05-11,5.2198
2000-05-12,-1.8277
2000-05-15,0.5319
2000-05-16,14.2857
2000-05-17,1.1574
2000-05-18,-3.8902
2000-05-19,0.4762
2000-05-22,0.237
2000-05-23,-0.4728
2000-05-24,4.5131
