ticker,SUBB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-06,-3.7037
2006-12-07,7.6923
2006-12-08,-4.2857
2006-12-11,-2.9851
2006-12-12,-16.1538
2006-12-13,-9.1743
2006-12-14,12.1212
2006-12-15,-9.9099
2006-12-18,0.0
2006-12-19,0.0
2006-12-20,0.0
2006-12-21,-1.0
2006-12-22,1.0101
2006-12-26,-25.0
2006-12-27,46.6667
2006-12-28,5.4545
2006-12-29,7.7586
2007-01-03,-1.6
2007-01-04,4.065
2007-01-05,9.375
2007-01-08,-0.7143
2007-01-09,-13.6691
2007-01-10,0.0
2007-01-11,8.3333
2007-01-12,-19.2308
2007-01-16,10.4762
2007-01-17,-5.1724
2007-01-18,-4.5455
2007-01-19,1.9048
2007-01-22,-9.3458
2007-01-23,5.1546
2007-01-24,5.8824
2007-01-25,1.8519
2007-01-26,-7.2727
2007-01-29,-3.9215999999999998
2007-01-30,-1.0204
2007-01-31,3.0928
2007-02-01,-5.0
2007-02-02,15.7895
2007-02-05,0.0
2007-02-06,-6.3636
2007-02-07,0.9709
2007-02-08,0.9615
2007-02-09,-1.9048
2007-02-12,0.9709
2007-02-13,0.0
2007-02-14,0.0
2007-02-15,4.8077
2007-02-16,5.5046
2007-02-20,-4.3478
2007-02-21,-14.5455
2007-02-22,5.3191
2007-02-23,-4.0404
2007-02-26,3.1579
2007-02-27,-9.1837
2007-02-28,-4.4944
2007-03-01,-3.5294
2007-03-02,-2.439
2007-03-05,2.5
2007-03-06,3.6585
2007-03-07,3.5294
2007-03-08,2.2727
2007-03-09,-2.2222
2007-03-12,2.2727
2007-03-13,0.0
2007-03-14,-13.3333
2007-03-15,-16.6667
2007-03-16,23.0769
2007-03-19,-11.25
2007-03-20,12.6761
2007-03-21,-5.0
2007-03-22,-1.3158
2007-03-23,-5.3333
2007-03-26,-2.8169
2007-03-27,0.0
2007-03-28,5.7971
2007-03-29,-8.2192
2007-03-30,11.9403
2007-04-02,8.0
2007-04-03,-6.1728
2007-04-04,1.3158
2007-04-05,0.0
2007-04-09,-2.5974
2007-04-10,-5.3333
2007-04-11,5.6338
2007-04-12,0.0
2007-04-13,-4.0
2007-04-16,-1.3889
2007-04-17,-1.4085
2007-04-18,-4.2857
2007-04-19,-5.9701
2007-04-20,7.9365
2007-04-23,-27.9412
2007-04-24,6.1224
2007-04-25,-3.8462
2007-04-26,-2.0
2007-04-27,12.2449
2007-04-30,-9.0909
2007-05-01,8.0
2007-05-02,-7.4074
