ticker,MSFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.1606
2000-01-04,-3.378
2000-01-05,1.0544
2000-01-06,-3.3498
2000-01-07,1.3068
2000-01-10,0.7291
2000-01-11,-2.5612
2000-01-12,-3.2571
2000-01-13,1.8901
2000-01-14,4.1159
2000-01-18,2.7283
2000-01-19,-7.2087
2000-01-20,-0.9346
2000-01-21,-2.1226
2000-01-24,-2.4096
2000-01-25,1.5432000000000001
2000-01-26,-3.3435
2000-01-27,-0.6289
2000-01-28,-0.5063
2000-01-31,-0.3817
2000-02-01,5.1724
2000-02-02,-2.0644
2000-02-03,2.7898
2000-02-04,2.8346999999999998
2000-02-07,0.0587
2000-02-08,3.1067
2000-02-09,-5.4008
2000-02-10,1.9231
2000-02-11,-5.7193000000000005
2000-02-14,-0.3127
2000-02-15,-1.0665
2000-02-16,-0.9512
2000-02-17,2.0487
2000-02-18,-4.5797
2000-02-22,-1.3149
2000-02-23,0.4664
2000-02-24,0.5305
2000-02-25,-3.628
2000-02-28,0.2738
2000-02-29,-2.3891
2000-03-01,1.6084
2000-03-02,2.8217
2000-03-03,2.9451
2000-03-06,-5.7217
2000-03-07,2.4828
2000-03-08,2.8937
2000-03-09,4.6436
2000-03-10,1.0
2000-03-13,-2.9703
2000-03-14,-2.9337
2000-03-15,0.2628
2000-03-16,0.0
2000-03-17,4.194
2000-03-20,-2.0126
2000-03-21,5.5199
2000-03-22,0.4866
2000-03-23,8.3535
2000-03-24,-0.1676
2000-03-27,-6.8271
2000-03-28,0.2402
2000-03-29,2.7561
2000-03-30,-3.5568999999999997
2000-03-31,2.7811
2000-04-03,-14.4706
2000-04-04,-2.5446999999999997
2000-04-05,-2.4699999999999998
2000-04-06,-0.4342
2000-04-07,3.561
2000-04-10,-3.3684
2000-04-11,-2.5418
2000-04-12,-5.3651
2000-04-13,-0.1575
2000-04-14,-6.4669
2000-04-17,2.3609
2000-04-18,6.1779
2000-04-19,-2.3274
2000-04-20,0.3177
2000-04-24,-15.5978
2000-04-25,4.1276
2000-04-26,-1.982
2000-04-27,2.6654
2000-04-28,-0.0895
2000-05-01,5.2867
2000-05-02,-4.8511
2000-05-03,0.9839
2000-05-04,-0.1771
2000-05-05,0.976
2000-05-08,-1.8453
2000-05-09,-2.8648
2000-05-10,-2.3963
2000-05-11,2.5496
2000-05-12,1.3812
2000-05-15,0.8174
2000-05-16,0.1802
2000-05-17,-2.6079
2000-05-18,-2.2161
2000-05-19,-1.6997
