ticker,VRSYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-01,-13.3333
2016-03-03,23.0769
2016-03-04,0.0
2016-03-10,3.75
2016-03-11,-0.6024
2016-03-14,0.0
2016-03-15,0.6061
2016-03-16,-0.6024
2016-03-17,1.2121
2016-03-21,2.3952
2016-03-22,1.1696
2016-03-23,-1.7341
2016-03-28,1.1764999999999999
2016-03-29,0.5814
2016-04-05,0.578
2016-04-12,1.1494
2016-04-29,1.1364
2016-05-02,-0.5618
2016-05-03,0.0
2016-05-04,1.6949
2016-05-06,-1.6667
2016-05-16,1.6949
2016-05-17,2.7778
2016-05-18,2.1622
2016-05-19,3.1746
2016-05-20,1.5385
2016-05-23,3.5354
2016-05-24,-1.9512
2016-05-25,1.99
2016-05-26,-4.878
2016-05-27,2.5641
2016-05-31,-0.5
2016-06-01,0.5025
2016-06-02,-4.0
2016-06-03,-8.8542
2016-06-06,-2.2857
2016-06-07,-32.1637
2016-06-08,-13.7931
2016-06-09,0.0
2016-06-10,10.0
2016-06-14,-9.0909
2016-06-16,-25.0
2016-06-22,98.6667
2016-06-23,-66.443
2016-06-24,-99.975
2016-06-27,50.0
2016-06-29,751900.0
2016-06-30,-0.7092
2016-07-07,-28.5714
2016-07-08,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-18,-1.0
2016-07-19,1.0101
2016-07-20,0.0
2016-07-25,0.0
2016-07-28,0.0
2016-07-29,10.0
2016-08-02,-9.0909
2016-08-03,2.0
2016-08-04,6.8627
2016-08-10,-8.2569
2016-08-16,-50.0
2016-08-18,98.0
2016-08-23,0.0
2016-08-25,-9.0909
2016-08-26,-5.5556
2016-08-29,11.7647
2016-08-30,-57.8947
2016-08-31,70.0
2016-09-01,10.2941
2016-09-02,-22.6667
2016-09-06,7.7586
2016-09-07,-4.0
2016-09-08,8.3333
2016-09-09,0.0
2016-09-12,-52.3077
2016-09-13,9.6774
2016-09-14,2.9412000000000003
2016-09-15,-2.8571
2016-09-16,11.7647
2016-09-19,-13.1579
2016-09-20,-32.7273
2016-09-21,1.8018
2016-09-22,-11.5044
2016-09-23,0.0
2016-09-26,-29.1875
2016-09-27,67.2109
2016-09-28,-25.1781
2016-09-29,-22.6808
2016-09-30,53.1934
2016-10-04,33.4127
2016-10-05,7.1429
2016-10-06,-6.6667
2016-10-07,-37.7232
2016-10-10,8.9606
2016-10-11,4.0132
2016-10-12,-8.9184
2016-10-13,-11.1111
2016-10-14,25.625
