ticker,SGRB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-23,-27.2727
2015-01-27,-37.5
2015-02-03,0.0
2015-02-24,-20.0
2015-02-25,0.0
2015-03-03,155.0
2015-03-04,0.0
2015-04-01,0.0
2015-05-27,-60.7843
2015-06-03,75.0
2015-07-22,-42.8571
2015-08-25,0.0
2015-08-31,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-24,-35.0
2016-01-08,0.0
2016-01-11,0.0
2016-01-27,0.0
2016-03-17,-61.5385
2017-02-07,-40.0
2017-05-08,233.3333
2017-05-11,90.0
2017-05-25,10.526299999999999
2017-05-26,90.4762
2017-06-02,-25.0
2017-06-07,-16.3333
2017-06-08,83.2669
2017-06-13,-34.5652
2017-06-15,232.2259
2017-07-17,-74.9
2017-07-24,-12.3506
2017-07-25,0.0
2017-10-31,-27.2727
2017-12-15,-6.25
2018-01-05,0.0
2018-01-12,0.0
2018-03-14,0.0
2018-08-02,133.3333
2019-12-10,-27.2857
2020-04-24,-21.4145
2020-05-26,-24.9
2020-05-29,459.2543
2020-06-02,-78.5714
2020-06-03,261.1111
2020-06-09,-61.5385
2020-06-11,140.0
2020-06-12,-15.0
2020-06-16,-21.5686
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-07-09,-12.5
2020-07-10,-14.2857
2020-07-17,-16.6667
2020-07-21,-2.8
2020-07-27,-5.3498
2020-07-28,-13.0435
