ticker,PODD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-15,6.4
2007-05-16,-3.1955
2007-05-17,-2.0712
2007-05-18,0.3305
2007-05-21,2.9644
2007-05-22,-0.064
2007-05-23,-2.3688000000000002
2007-05-24,-0.1967
2007-05-25,-0.3285
2007-05-29,0.6592
2007-05-30,-1.1133
2007-05-31,-1.8542999999999998
2007-06-01,1.2146
2007-06-04,0.0
2007-06-05,-1.6
2007-06-06,-3.252
2007-06-07,-1.9607999999999999
2007-06-08,0.7143
2007-06-11,2.766
2007-06-12,-1.6562999999999999
2007-06-13,0.0
2007-06-14,-0.5614
2007-06-15,-1.8349
2007-06-18,-0.4313
2007-06-19,-0.0722
2007-06-20,1.5896
2007-06-21,0.4267
2007-06-22,-1.9122
2007-06-25,1.5162
2007-06-26,-0.4979
2007-06-27,1.5726
2007-06-28,-1.4075
2007-06-29,1.3562
2007-07-02,1.7606000000000002
2007-07-03,0.346
2007-07-05,3.2414
2007-07-06,0.5344
2007-07-09,-1.196
2007-07-10,0.9415
2007-07-11,-1.2658
2007-07-12,0.7422
2007-07-13,-0.9377
2007-07-16,-5.071
2007-07-17,-0.3561
2007-07-18,0.0715
2007-07-19,0.0
2007-07-20,0.0714
2007-07-23,-0.2141
2007-07-24,-2.1459
2007-07-25,3.2895
2007-07-26,3.1139
2007-07-27,-3.1572
2007-07-30,-0.7796
2007-07-31,0.1429
2007-08-01,1.3552
2007-08-02,1.2667
2007-08-03,-2.9187
2007-08-06,0.1432
2007-08-07,1.7155
2007-08-08,5.5517
2007-08-09,-3.4621
2007-08-10,-0.1379
2007-08-13,4.9033
2007-08-14,-1.2508
2007-08-15,0.0
2007-08-16,13.2
2007-08-17,-0.0589
2007-08-20,0.1768
2007-08-21,-0.7647
2007-08-22,0.7113
2007-08-23,0.412
2007-08-24,0.2345
2007-08-27,-0.7602
2007-08-28,3.5357
2007-08-29,5.6346
2007-08-30,-1.9935
2007-08-31,-3.1336
2007-09-04,2.1566
2007-09-05,-3.1667
2007-09-06,3.2129
2007-09-07,-2.7793
2007-09-10,1.8868
2007-09-11,7.0707
2007-09-12,6.3417
2007-09-13,3.4007
2007-09-14,2.4786
2007-09-17,4.6047
2007-09-18,0.4891
2007-09-19,-0.0885
2007-09-20,-3.0115
2007-09-21,-2.4201
2007-09-24,2.4801
2007-09-25,-0.9589
2007-09-26,-1.6598000000000002
2007-09-27,0.0469
2007-09-28,1.9213
2007-10-01,-2.2989
2007-10-02,5.8824
