ticker,CRNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-18,44.1765
2018-07-19,-7.5479
2018-07-20,1.5004
2018-07-23,9.2609
2018-07-24,-0.0796
2018-07-25,0.9558
2018-07-26,-1.7751000000000001
2018-07-27,-2.0482
2018-07-30,4.879
2018-07-31,-3.792
2018-08-01,3.2101
2018-08-02,3.5433
2018-08-03,-1.749
2018-08-06,3.0186
2018-08-07,-1.5777999999999999
2018-08-08,6.8702
2018-08-09,6.5714
2018-08-10,2.815
2018-08-13,2.2816
2018-08-14,-2.3263
2018-08-15,-2.2186
2018-08-16,2.8028
2018-08-17,6.1344
2018-08-20,-2.1713
2018-08-21,-1.0628
2018-08-22,0.8847
2018-08-23,3.5703
2018-08-24,-0.9979
2018-08-27,-2.1991
2018-08-28,2.3111
2018-08-29,-5.7692
2018-08-30,-1.7816999999999998
2018-08-31,-1.0884
2018-09-04,0.3668
2018-09-05,0.3654
2018-09-06,10.8242
2018-09-07,9.4086
2018-09-10,-0.1092
2018-09-11,-1.9678
2018-09-12,2.5927
2018-09-13,-1.3587
2018-09-14,-7.1625
2018-09-17,-5.905
2018-09-18,-0.1892
2018-09-19,0.316
2018-09-20,-3.748
2018-09-21,2.0288
2018-09-24,-3.4317
2018-09-25,-6.9744
2018-09-26,-4.5341000000000005
2018-09-27,0.561
2018-09-28,6.5452
2018-10-01,-4.0489
2018-10-02,0.1819
2018-10-03,-3.0864
2018-10-04,-9.4417
2018-10-05,-3.8477
2018-10-08,0.9036
2018-10-09,-0.5544
2018-10-10,-3.5163
2018-10-11,4.9333
2018-10-12,1.2706
2018-10-15,-4.4333
2018-10-16,2.5383
2018-10-17,0.1707
2018-10-18,-0.2983
2018-10-19,-2.265
2018-10-22,-2.0551
2018-10-23,0.0446
2018-10-24,0.2677
2018-10-25,11.2595
2018-10-26,1.32
2018-10-29,-5.4876
2018-10-30,0.2506
2018-10-31,3.7917
2018-11-01,4.3356
2018-11-02,1.3082
2018-11-05,1.2913000000000001
2018-11-06,1.2373
2018-11-07,0.8148
2018-11-08,3.4533
2018-11-09,-4.6875
2018-11-12,-1.4903
2018-11-13,10.854800000000001
2018-11-14,-1.8765
2018-11-15,-5.4937000000000005
2018-11-16,5.5923
2018-11-19,4.4251
2018-11-20,1.2679
2018-11-21,9.8847
2018-11-23,-4.1379
2018-11-26,5.9118
2018-11-27,-5.6113
2018-11-28,9.7309
2018-11-29,-4.1916
2018-11-30,3.9881
2018-12-03,1.2879
2018-12-04,-3.2778
