ticker,MOSY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-06-28,12.2
2001-06-29,-1.5152
2001-07-02,-0.4525
2001-07-03,1.8182
2001-07-05,-1.25
2001-07-06,0.2712
2001-07-09,0.2705
2001-07-10,-0.1799
2001-07-11,-0.9009
2001-07-12,4.5455
2001-07-13,-2.5217
2001-07-16,-1.4273
2001-07-17,8.6878
2001-07-18,6.9942
2001-07-19,1.7121
2001-07-20,1.9893
2001-07-23,4.4261
2001-07-24,-5.819
2001-07-25,3.7376
2001-07-26,0.0
2001-07-27,-2.5735
2001-07-30,-1.7358
2001-07-31,3.3026
2001-08-01,4.0892
2001-08-02,4.2857
2001-08-03,2.6027
2001-08-06,-4.8732
2001-08-07,-2.5965
2001-08-08,-0.8646
2001-08-09,-4.7965
2001-08-10,0.7634
2001-08-13,8.1818
2001-08-14,0.8403
2001-08-15,-4.1667
2001-08-16,3.2609
2001-08-17,-1.3333
2001-08-20,-0.4267
2001-08-21,0.0
2001-08-22,-0.3571
2001-08-23,-0.3584
2001-08-24,0.1439
2001-08-27,-3.8792999999999997
2001-08-28,1.6442
2001-08-29,0.1471
2001-08-30,2.79
2001-08-31,0.2857
2001-09-04,-0.6339
2001-09-05,-1.7992
2001-09-06,-7.0803
2001-09-07,-10.8405
2001-09-10,-2.1145
2001-09-17,-9.0909
2001-09-18,-2.9703
2001-09-19,-0.5102
2001-09-20,1.5385
2001-09-21,-5.5556
2001-09-24,3.8503
2001-09-25,-4.7374
2001-09-26,-17.4054
2001-09-27,12.1728
2001-09-28,1.867
2001-10-01,-7.2165
2001-10-02,-3.7037
2001-10-03,5.0
2001-10-04,9.8901
2001-10-05,3.3333
2001-10-08,2.6882
2001-10-09,6.911
2001-10-10,5.6807
2001-10-11,1.4828999999999999
2001-10-12,-1.7351999999999999
2001-10-15,11.0595
2001-10-16,3.3473
2001-10-17,1.2146
2001-10-18,0.08
2001-10-19,-6.4748
2001-10-22,4.1026
2001-10-23,0.1642
2001-10-24,-1.6393
2001-10-25,-0.8333
2001-10-26,0.5882
2001-10-29,-3.5923
2001-10-30,-4.2461
2001-10-31,-0.9955
2001-11-01,10.9689
2001-11-02,3.7891
2001-11-05,4.8413
2001-11-06,22.0288
2001-11-07,-5.7072
2001-11-08,-0.8553
2001-11-09,-0.4645
2001-11-12,-7.4667
2001-11-13,8.0692
2001-11-14,-0.6667
2001-11-15,-2.6846
2001-11-16,16.5517
2001-11-19,0.355
2001-11-20,-9.4929
2001-11-21,-0.3257
