ticker,INMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-08,-3.0714
2019-08-09,3.3161
2019-08-12,-1.9258
2019-08-13,1.8182
2019-08-14,16.0714
2019-08-15,12.3077
2019-08-16,9.0411
2019-08-19,3.0151
2019-08-20,6.5854
2019-08-21,3.4325
2019-08-22,0.7965
2019-08-23,-9.5259
2019-08-26,4.5609
2019-08-27,-0.6497
2019-08-28,0.8874
2019-08-29,0.2315
2019-08-30,-8.0831
2019-09-03,12.512599999999999
2019-09-04,12.8629
2019-09-05,5.7379999999999995
2019-09-06,-9.6557
2019-09-09,7.9122
2019-09-10,-3.263
2019-09-11,6.5079
2019-09-12,1.8629
2019-09-13,4.1697
2019-09-16,-3.3357
2019-09-17,-0.1816
2019-09-18,0.9825
2019-09-19,-1.6577
2019-09-20,-4.4705
2019-09-23,3.8358
2019-09-24,-1.2191
2019-09-25,1.0471
2019-09-26,-1.9985
2019-09-27,-16.0121
2019-09-30,-3.2824
2019-10-01,4.649
2019-10-02,-2.1768
2019-10-03,2.2252
2019-10-04,8.9738
2019-10-07,-2.0383
2019-10-08,-4.2863
2019-10-09,3.0435
2019-10-10,-0.7595
2019-10-11,3.5714
2019-10-14,11.5353
2019-10-15,-4.4534
2019-10-16,-3.1202
2019-10-17,3.499
2019-10-18,-0.3073
2019-10-21,6.2428
2019-10-22,8.161
2019-10-23,3.3199
2019-10-24,-1.9474
2019-10-25,4.2701
2019-10-28,-0.7302
2019-10-29,-1.8868
2019-10-30,3.1943
2019-10-31,-2.8427
2019-11-01,4.3563
2019-11-04,5.8255
2019-11-05,19.6938
2019-11-06,-4.427
2019-11-07,7.0767
2019-11-08,-2.8118
2019-11-11,12.2898
2019-11-12,-3.2152
2019-11-13,-1.7065000000000001
2019-11-14,6.25
2019-11-15,7.7124
2019-11-18,5.6432
2019-11-19,6.9117
2019-11-20,-5.659
2019-11-21,-11.4275
2019-11-22,-10.9516
2019-11-25,14.7052
2019-11-26,8.0361
2019-11-27,6.1177
2019-11-29,-7.284
2019-12-02,-3.257
2019-12-03,-10.2428
2019-12-04,-2.5233
2019-12-05,1.6091
2019-12-06,8.8364
2019-12-09,-9.9536
2019-12-10,3.9813
2019-12-11,-3.9414
2019-12-12,-8.6753
2019-12-13,-0.2824
2019-12-16,7.6725
2019-12-17,3.2999
2019-12-18,-2.5463
2019-12-19,5.5344
2019-12-20,-6.5946
2019-12-23,-2.241
2019-12-24,-5.6199
2019-12-26,-0.5484
2019-12-27,2.4685
