ticker,NSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8293
2000-01-04,0.6211
2000-01-05,-0.6173
2000-01-06,5.9006
2000-01-07,-2.9326
2000-01-10,3.0211
2000-01-11,0.2933
2000-01-12,-0.8772
2000-01-13,2.6549
2000-01-14,-1.4368
2000-01-18,-4.9563
2000-01-19,-1.5337
2000-01-20,-1.5575999999999999
2000-01-21,-0.3165
2000-01-24,-3.8095
2000-01-25,-0.6601
2000-01-26,-5.6478
2000-01-27,-1.4085
2000-01-28,-1.4285999999999999
2000-01-31,-1.4493
2000-02-01,-1.4706000000000001
2000-02-02,-1.4179
2000-02-03,-1.5326
2000-02-04,-1.9455
2000-02-07,3.1746
2000-02-08,-5.3846
2000-02-09,-0.4065
2000-02-10,-2.0408
2000-02-11,-2.5
2000-02-14,3.4188
2000-02-15,0.4132
2000-02-16,0.4115
2000-02-17,-2.8689
2000-02-18,0.0
2000-02-22,2.1097
2000-02-23,-2.4793
2000-02-24,-6.7797
2000-02-25,0.0
2000-02-28,1.3636
2000-02-29,-2.6906
2000-03-01,2.3041
2000-03-02,-3.1532
2000-03-03,3.7209
2000-03-06,-4.0359
2000-03-07,-3.271
2000-03-08,0.0
2000-03-09,1.9324
2000-03-10,0.0
2000-03-13,-1.8957000000000002
2000-03-14,-1.4493
2000-03-15,6.8627
2000-03-16,11.0092
2000-03-17,4.9587
2000-03-20,-5.5118
2000-03-21,0.0
2000-03-22,-0.4167
2000-03-23,-3.7657
2000-03-24,-0.8696
2000-03-27,5.2632
2000-03-28,-7.5
2000-03-29,0.9009
2000-03-30,0.8929
2000-03-31,0.885
2000-04-03,0.8772
2000-04-04,3.0435
2000-04-05,7.5949
2000-04-06,-0.3922
2000-04-07,3.1496
2000-04-10,-0.3817
2000-04-11,8.046
2000-04-12,0.3546
2000-04-13,-1.4134
2000-04-14,-2.1505
2000-04-17,-1.0989
2000-04-18,2.2222
2000-04-19,1.4493
2000-04-20,-2.1429
2000-04-24,1.8248
2000-04-25,5.7348
2000-04-26,-1.6949
2000-04-27,-2.4138
2000-04-28,-0.3534
2000-05-01,0.0
2000-05-02,-1.4184
2000-05-03,-1.7266
2000-05-04,-3.3333
2000-05-05,5.7471
2000-05-08,3.9855
2000-05-09,4.878
2000-05-10,-0.9967
2000-05-11,2.0134
2000-05-12,1.6447
2000-05-15,-1.6181
2000-05-16,3.6184
2000-05-17,-2.2222
2000-05-18,0.3247
2000-05-19,-2.9126
2000-05-22,-1.0
