ticker,HNRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-20,26.6667
2007-08-21,0.0
2007-08-23,-5.2632
2007-08-27,0.0
2007-09-10,-66.6667
2007-09-12,150.0
2007-09-14,-40.0
2007-09-17,22.2222
2007-09-18,36.3636
2007-09-19,6.6667
2007-09-20,-25.0
2007-09-24,25.0
2007-09-25,0.0
2007-09-26,-20.0
2007-09-27,0.0
2007-09-28,12.5
2007-10-01,0.0
2007-10-02,0.0
2007-10-04,-77.037
2007-10-05,125.8065
2007-10-08,14.2857
2007-10-09,0.0
2007-10-10,0.0
2007-10-11,-12.5
2007-10-12,28.5714
2007-10-15,-22.2222
2007-10-16,-14.2857
2007-10-17,8.3333
2007-10-18,7.6923
2007-10-19,14.2857
2007-10-22,-25.0
2007-10-25,-16.6667
2007-10-26,-20.0
2007-10-29,25.0
2007-10-31,-20.0
2007-11-07,-25.0
2007-11-08,0.0
2007-11-16,166.6667
2007-11-20,-37.5
2007-11-21,-20.0
2007-11-27,50.0
2007-11-28,-35.0
2007-11-29,-23.0769
2007-11-30,33.3333
2007-12-03,0.0
2007-12-04,0.0
2007-12-05,0.0
2007-12-06,-12.5
2007-12-10,-14.2857
2007-12-11,-33.3333
2007-12-12,0.0
2007-12-13,-15.0
2007-12-14,17.647100000000002
2007-12-17,-15.0
2007-12-18,-11.7647
2007-12-19,0.0
2007-12-20,-46.6667
2007-12-21,50.0
2007-12-27,-16.6667
2007-12-28,70.0
2007-12-31,-67.6471
2008-01-07,9.0909
2008-01-10,25.0
2008-01-14,-6.6667
2008-01-17,-28.5714
2008-01-18,-60.0
2008-01-23,31.25
2008-01-25,0.0
2008-01-28,52.381
2008-01-29,12.5
2008-02-07,-29.1667
2008-02-11,-5.8824
2008-02-12,33.3333
2008-02-13,0.0
2008-02-19,0.0
2008-02-20,-25.0
2008-02-26,50.0
2008-02-27,0.0
2008-02-28,11.1111
2008-02-29,10.0
2008-03-05,-9.0909
2008-03-13,0.0
2008-03-28,10.0
2008-04-02,9.0909
2008-04-04,0.0
2008-04-18,-16.6667
2008-04-25,60.0
2008-05-05,-25.0
2008-05-07,0.0
2008-05-12,-66.6667
2008-05-16,150.0
2008-06-10,-40.0
2008-06-27,-33.3333
2008-08-13,0.0
2008-08-29,-25.0
2008-09-08,-33.3333
2008-09-17,0.0
2008-10-22,0.0
2008-11-26,0.0
2008-12-17,0.0
2009-01-02,-50.0
2009-02-27,0.0
2009-04-16,0.0
2010-02-01,-70.0
