ticker,HGSH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-24,184.0
2006-04-25,-1.4085
2006-04-28,0.0
2006-05-01,-15.7143
2006-05-02,3.3898
2006-05-03,63.9344
2006-05-04,-2.5
2006-05-05,-28.2051
2006-05-08,-3.5714
2006-05-11,3.7037
2006-05-12,0.0
2006-05-16,0.0
2006-05-19,14.2857
2006-05-24,0.0
2006-05-25,15.625
2006-05-26,0.0
2006-05-30,-2.7027
2006-05-31,8.3333
2006-06-01,-5.1282
2006-06-02,0.0
2006-06-05,0.0
2006-06-07,-16.2162
2006-06-08,-3.2258
2006-06-13,0.0
2006-06-14,-3.3333
2006-06-23,0.0
2006-06-29,-10.3448
2006-07-03,0.0
2006-07-06,0.0
2006-07-07,6.1538
2006-07-13,-2.1739
2006-07-17,0.0
2006-07-20,4.4444
2006-07-24,2.8369
2006-07-26,10.3448
2006-07-27,-6.25
2006-07-28,0.0
2006-08-17,-3.3333
2006-08-21,-24.1379
2006-08-22,0.0
2006-08-28,3.6364
2006-08-29,0.0
2006-08-31,0.0
2006-09-19,-7.8947
2006-09-21,4.7619
2006-09-26,0.0
2006-09-27,13.6364
2006-09-28,8.8
2006-09-29,1.4706000000000001
2006-10-02,1.4493
2006-10-03,0.0
2006-10-04,-1.4285999999999999
2006-10-05,0.0
2006-10-23,-5.7971
2006-11-01,0.0
2006-11-03,3.8462
2006-11-06,0.0
2006-11-29,-18.5185
2006-12-01,13.6364
2006-12-04,12.0
2006-12-18,-7.1429
2006-12-29,-10.7692
2007-01-03,0.8621
2007-01-04,0.8547
2007-01-18,-5.9322
2007-01-30,-0.9009
2007-02-05,-8.1818
2007-03-09,-0.9901
2007-03-28,-45.0
2007-03-29,81.8182
2007-03-30,0.0
2007-04-09,-30.0
2007-04-11,-14.2857
2007-04-19,0.0
2007-05-02,-8.3333
2007-05-10,1.8182
2007-05-22,-19.6429
2007-05-29,0.0
2007-06-21,0.0
2007-07-09,-33.3333
2007-07-12,-16.6667
2007-07-16,-20.0
2007-07-26,-25.0
2007-08-02,0.0
2007-08-03,-33.3333
2007-09-06,80.0
2007-09-17,-33.3333
2007-10-02,100.0
2007-10-04,0.0
2007-10-05,0.0
2007-10-08,-37.5
2007-10-09,0.0
2007-10-17,80.0
2007-10-18,-3.7037
2007-10-26,3.8462
2007-10-30,-33.3333
2007-10-31,-22.2222
2007-11-06,0.0
2007-11-21,0.0
2007-11-27,0.0
2007-11-30,-14.2857
2007-12-03,-16.6667
