ticker,PZN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-25,11.6111
2007-10-26,-2.439
2007-10-29,0.102
2007-10-30,-0.9174
2007-10-31,-0.3086
2007-11-01,-5.8308
2007-11-02,-4.1644
2007-11-05,-3.9451
2007-11-06,-0.2976
2007-11-07,-7.5224
2007-11-08,-0.581
2007-11-09,-0.1948
2007-11-12,1.1711
2007-11-13,7.3955
2007-11-14,-2.0958
2007-11-15,-6.3609
2007-11-16,-10.1894
2007-11-19,-0.9455
2007-11-20,-6.0206
2007-11-21,7.1875
2007-11-23,1.0204
2007-11-26,-14.9351
2007-11-27,-8.0577
2007-11-28,10.7011
2007-11-29,-1.25
2007-11-30,7.173
2007-12-03,4.4094
2007-12-04,-2.7149
2007-12-05,-4.9612
2007-12-06,1.7128999999999999
2007-12-07,2.2454
2007-12-10,1.9607999999999999
2007-12-11,-4.0
2007-12-12,-2.6442
2007-12-13,-1.9752999999999998
2007-12-14,1.5953
2007-12-17,-5.7851
2007-12-18,-2.6316
2007-12-19,-3.8739
2007-12-20,-0.0937
2007-12-21,-1.0319
2007-12-24,12.511800000000001
2007-12-26,3.4541
2007-12-27,-5.0945
2007-12-28,-2.7706
2007-12-31,1.5138
2008-01-02,-0.0877
2008-01-03,-1.8437000000000001
2008-01-04,-3.8462
2008-01-07,2.8837
2008-01-08,-1.7179
2008-01-09,1.104
2008-01-10,4.2766
2008-01-11,-12.9145
2008-01-14,-1.7034
2008-01-15,2.0387
2008-01-16,0.999
2008-01-17,-7.6162
2008-01-18,-1.0707
2008-01-22,7.684
2008-01-23,5.0251
2008-01-24,1.0526
2008-01-25,1.5152
2008-01-28,4.0112
2008-01-29,1.435
2008-01-30,-0.7958
2008-01-31,22.549
2008-02-01,-8.8
2008-02-04,1.6745999999999999
2008-02-05,0.3922
2008-02-06,-10.3906
2008-02-07,3.8361
2008-02-08,-0.3359
2008-02-11,-3.0329
2008-02-12,1.8245
2008-02-13,1.1092
2008-02-14,2.9536
2008-02-15,0.3279
2008-02-19,-8.1699
2008-02-20,0.9786
2008-02-21,-1.1454
2008-02-22,-0.4456
2008-02-25,-1.5219
2008-02-26,-0.4545
2008-02-27,2.6484
2008-02-28,5.1601
2008-02-29,-7.9526
2008-03-03,-2.8493
2008-03-04,-5.0142
2008-03-05,-0.3984
2008-03-06,-3.0
2008-03-07,-5.1546
2008-03-10,-7.0652
2008-03-11,7.0175
2008-03-12,-1.8578999999999999
2008-03-13,2.2272
2008-03-14,2.6144
