ticker,QUAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-31,14.2857
2005-09-02,150.0
2005-09-08,-50.0
2005-09-09,100.0
2005-09-14,0.0
2005-09-20,-25.0
2005-09-22,33.3333
2005-09-27,-40.0
2005-09-28,16.6667
2005-10-25,-14.2857
2005-10-27,37.5
2005-10-28,-9.0909
2005-11-08,0.0
2005-11-11,6.6667
2005-11-14,-50.0
2005-12-29,-25.0
2005-12-30,33.3333
2006-02-03,0.0
2006-02-06,0.0
2006-03-03,0.0
2006-03-14,0.0
2006-03-24,0.0
2006-03-27,0.0
2006-03-29,-25.0
2006-04-25,0.0
2006-06-02,66.6667
2006-06-05,60.0
2006-06-06,-25.0
2006-06-07,16.6667
2006-06-08,7.1429
2006-06-09,-6.6667
2006-06-12,0.0
2006-06-20,0.0
2006-06-22,0.0
2006-07-10,0.0
2006-08-22,-14.2857
2006-09-22,0.0
2006-10-05,25.0
2006-10-09,0.0
2006-10-16,-40.0
2006-10-18,33.3333
2006-10-26,33.3333
2006-10-27,0.0
2006-10-31,-6.25
2006-11-01,20.0
2006-11-02,-5.5556
2006-11-03,-11.7647
2006-11-07,0.0
2006-11-08,26.6667
2006-11-09,10.526299999999999
2006-11-10,-19.0476
2006-11-13,0.0
2006-11-15,0.0
2006-11-20,0.0
2006-11-21,0.0
2006-11-24,-11.7647
2006-11-28,20.0
2006-12-01,-33.3333
2006-12-11,41.6667
2006-12-13,0.0
2006-12-14,-11.7647
2006-12-18,13.3333
2006-12-20,10.2941
2006-12-28,0.0
2006-12-29,0.0
2007-01-03,0.0
2007-01-08,0.0
2007-01-10,-20.0
2007-01-11,0.0
2007-01-12,25.0
2007-01-19,-25.3333
2007-01-23,7.1429
2007-01-24,25.0
2007-02-05,-20.0
2007-02-07,8.3333
2007-02-08,0.0
2007-02-09,-10.7692
2007-02-13,-8.6207
2007-02-15,20.7547
2007-02-20,15.625
2007-02-21,-13.5135
2007-02-22,1.5625
2007-02-23,4.6154
2007-02-26,0.0
2007-02-27,-11.7647
2007-02-28,-13.3333
2007-03-01,15.3846
2007-03-02,0.0
2007-03-06,-15.0
2007-03-07,0.0
2007-03-08,3.9215999999999998
2007-03-09,-13.2075
2007-03-13,6.5217
2007-03-14,2.0408
2007-03-15,-10.0
2007-03-16,4.4444
2007-03-19,6.383
2007-03-20,0.0
2007-03-21,-14.0
2007-03-22,11.6279
2007-03-23,-12.5
2007-03-26,14.2857
2007-03-27,-6.25
2007-03-28,6.6667
