ticker,CDXI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-19,366.6667
2014-02-05,-28.5714
2014-02-10,510.0
2014-02-11,32.7869
2014-02-12,-8.642
2014-02-13,-6.7568
2014-02-14,-2.8986
2014-02-18,95.7015
2014-02-19,1.3423
2014-02-20,3.3113
2014-02-21,-0.641
2014-02-24,-3.2258
2014-02-25,3.3333
2014-02-26,-5.8065
2014-02-27,1.3699
2014-02-28,0.6757
2014-03-03,0.6711
2014-03-04,0.0
2014-03-05,-1.3333
2014-03-06,-2.7027
2014-03-07,0.0
2014-03-10,1.3889
2014-03-11,0.6849
2014-03-12,0.0
2014-03-13,-1.3605
2014-03-14,0.0
2014-03-17,0.6897
2014-03-18,-3.4247
2014-03-19,4.2553
2014-03-20,-3.4013999999999998
2014-03-21,2.1127
2014-03-24,-0.6897
2014-03-25,0.6944
2014-03-26,0.0
2014-03-27,-1.3793
2014-03-28,0.6993
2014-03-31,-2.7778
2014-04-01,-0.7143
2014-04-02,0.0
2014-04-03,-6.4748
2014-04-04,-3.8462
2014-04-07,4.0
2014-04-08,7.6923
2014-04-09,-1.4285999999999999
2014-04-11,-13.0435
2014-04-15,2.5
2014-04-16,5.6911000000000005
2014-04-17,-4.6154
2014-04-21,-8.871
2014-04-22,4.4248
2014-04-23,-4.2373
2014-04-24,1.7699
2014-04-25,0.0
2014-04-28,-3.4783
2014-04-29,-7.2072
2014-04-30,8.7379
2014-05-01,-5.3571
2014-05-02,-0.9434
2014-05-05,-0.9524
2014-05-06,0.9615
2014-05-07,-1.9048
2014-05-08,0.0
2014-05-09,0.0
2014-05-12,0.0
2014-05-13,1.9417
2014-05-14,4.7619
2014-05-15,0.0
2014-05-16,1.8182
2014-05-19,0.0
2014-05-20,5.3571
2014-05-21,-0.8475
2014-05-22,-5.9829
2014-05-23,0.9091
2014-05-27,2.7027
2014-05-28,-2.6316
2014-05-29,3.6036
2014-05-30,0.0
2014-06-02,4.3478
2014-06-03,-2.5
2014-06-04,-4.2735
2014-06-05,0.0
2014-06-06,0.0
2014-06-09,-9.8214
2014-06-10,-0.9901
2014-06-11,-5.0
2014-06-12,-4.2105
2014-06-16,2.1978
2014-06-17,2.1505
2014-06-18,1.0526
2014-06-19,4.1667
2014-06-20,0.0
2014-06-23,3.0
2014-06-24,0.0
2014-06-25,-3.1068
2014-06-26,-12.8257
2014-06-27,2.2989
2014-06-30,12.3596
2014-07-01,-10.0
2014-07-02,0.0
2014-07-03,-2.4444
2014-07-07,2.5057
