ticker,INSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-11-16,12.5
2000-11-17,-4.1667
2000-11-20,-1.4493
2000-11-21,-5.1471
2000-11-22,-0.7752
2000-11-24,0.0
2000-11-27,3.125
2000-11-28,6.0606
2000-11-29,0.0
2000-11-30,70.7429
2000-12-01,-35.5756
2000-12-04,0.0
2000-12-05,7.7922
2000-12-06,9.6386
2000-12-07,4.9451
2000-12-08,2.0942
2000-12-11,26.6667
2000-12-12,-3.6437
2000-12-13,-13.4454
2000-12-14,-12.6214
2000-12-15,16.6667
2000-12-18,-8.0952
2000-12-19,1.0363
2000-12-20,-14.359
2000-12-21,-7.7844
2000-12-22,24.026
2000-12-26,5.7592
2000-12-27,-8.4158
2000-12-28,1.6216
2000-12-29,5.3191
2001-01-02,-5.5556
2001-01-03,4.2781
2001-01-04,-5.641
2001-01-05,-4.8913
2001-01-08,0.0
2001-01-09,-5.1429
2001-01-10,1.2048
2001-01-11,10.7143
2001-01-12,0.0
2001-01-16,-0.5376
2001-01-17,-1.0811
2001-01-18,4.918
2001-01-19,22.3958
2001-01-22,-5.1064
2001-01-23,-4.9327
2001-01-24,1.4151
2001-01-25,-14.8837
2001-01-26,-7.6503
2001-01-29,13.6095
2001-01-30,0.0
2001-01-31,-1.0417
2001-02-01,11.8421
2001-02-02,5.4118
2001-02-05,7.1429
2001-02-06,-4.5833
2001-02-07,-10.0437
2001-02-08,-13.5922
2001-02-09,-26.9663
2001-02-12,5.7692
2001-02-13,-2.5455
2001-02-14,-4.4776
2001-02-15,-5.4688
2001-02-16,-2.4793
2001-02-20,-11.0169
2001-02-21,-7.1429
2001-02-22,-9.7436
2001-02-23,1.1364
2001-02-26,7.8652
2001-02-27,-3.125
2001-02-28,-13.9785
2001-03-01,-15.0
2001-03-02,5.8824
2001-03-05,-8.3333
2001-03-06,0.0
2001-03-07,66.7879
2001-03-08,-5.5233
2001-03-09,-11.538499999999999
2001-03-12,4.8913
2001-03-13,0.5181
2001-03-14,-9.2784
2001-03-15,-1.1364
2001-03-16,-7.7586
2001-03-19,5.9190000000000005
2001-03-20,-4.7059
2001-03-21,-2.4691
2001-03-22,1.2658
2001-03-23,3.125
2001-03-26,3.0303
2001-03-27,-4.7059
2001-03-28,-17.9012
2001-03-29,-45.1128
2001-03-30,-9.589
2001-04-02,33.3333
2001-04-03,9.0909
2001-04-04,6.25
2001-04-05,0.9804
2001-04-06,-0.9709
2001-04-09,5.098
2001-04-10,3.5821
2001-04-11,13.8329
