ticker,TBPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-19,-4.3118
2014-05-20,-2.0482
2014-06-02,-9.3866
2014-06-03,20.5641
2014-06-04,2.0842
2014-06-05,2.75
2014-06-06,7.3804
2014-06-09,0.0755
2014-06-10,0.4906
2014-06-11,5.107
2014-06-12,0.0357
2014-06-13,1.4285999999999999
2014-06-16,15.8451
2014-06-17,-0.304
2014-06-18,-6.5244
2014-06-19,4.9576
2014-06-20,6.8676
2014-06-23,1.3958
2014-06-24,-1.4339
2014-06-25,-1.1638
2014-06-26,-0.0294
2014-06-27,-0.0883
2014-06-30,-6.0419
2014-07-01,6.1794
2014-07-02,-0.0295
2014-07-03,0.4433
2014-07-07,-0.8826
2014-07-08,-3.0573
2014-07-09,-0.3062
2014-07-10,-6.7568
2014-07-11,-1.1528
2014-07-14,2.6325
2014-07-15,3.7987
2014-07-16,0.1251
2014-07-17,-0.4998
2014-07-18,0.7535
2014-07-21,0.1246
2014-07-22,0.7781
2014-07-23,-1.2662
2014-07-24,-0.2502
2014-07-25,-0.878
2014-07-28,-2.9421
2014-07-29,-2.9987
2014-07-30,-0.2352
2014-07-31,-5.5911
2014-08-01,3.2822
2014-08-04,-0.2073
2014-08-05,3.3576
2014-08-06,-1.2726
2014-08-07,-0.1357
2014-08-08,1.1889
2014-08-11,-3.6254
2014-08-12,0.6966
2014-08-13,2.5597
2014-08-14,-5.9359
2014-08-15,-1.6135000000000002
2014-08-18,1.1297
2014-08-19,-3.2072
2014-08-20,0.4468
2014-08-21,3.2246
2014-08-22,1.7953000000000001
2014-08-25,1.8342
2014-08-26,1.6625999999999999
2014-08-27,-0.5792
2014-08-28,-1.8506
2014-08-29,2.5314
2014-09-02,-1.0727
2014-09-03,-1.6867
2014-09-04,-2.9412000000000003
2014-09-05,1.0823
2014-09-08,2.6052999999999997
2014-09-09,-1.2174
2014-09-10,-1.4085
2014-09-11,0.0
2014-09-12,-3.5714
2014-09-15,-2.2963
2014-09-16,-0.1895
2014-09-17,-0.5697
2014-09-18,1.4133
2014-09-19,-0.8286
2014-09-22,-1.7471
2014-09-23,-2.5126
2014-09-24,0.2776
2014-09-25,-3.2028
2014-09-26,-1.2663
2014-09-29,-3.1444
2014-09-30,-1.5377999999999998
2014-10-01,-2.2993
2014-10-02,1.7318
2014-10-03,1.2222
2014-10-06,-0.3234
2014-10-07,-4.7804
2014-10-08,-0.0454
2014-10-09,-6.0455
2014-10-10,-0.8224
2014-10-13,-0.2927
