ticker,PCNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-09,62.5
2011-06-10,15.3846
2011-06-13,0.0
2011-06-14,-6.6667
2011-06-16,-6.4286
2011-06-28,7.6336
2011-07-06,24.1135
2011-07-08,0.0
2011-07-11,-14.2857
2011-07-12,16.6667
2011-07-13,0.0
2011-07-14,11.4286
2011-07-15,2.5641
2011-07-18,5.0
2011-07-19,2.3810000000000002
2011-07-20,2.3256
2011-07-21,4.5455
2011-07-22,0.0
2011-07-25,0.0
2011-07-26,-4.3478
2011-07-27,2.2727
2011-07-28,4.4444
2011-08-01,-4.2553
2011-08-02,4.4444
2011-08-04,2.1277
2011-08-05,0.0
2011-08-08,0.0
2011-08-09,2.0833
2011-08-10,0.0
2011-08-11,0.0
2011-08-15,0.0
2011-08-22,0.0
2011-08-25,0.0
2011-09-21,-4.0816
2011-09-23,-2.1277
2011-10-03,0.0
2011-10-04,0.0
2011-10-26,2.1739
2011-11-01,-4.2553
2011-11-02,8.4444
2011-11-23,0.0
2011-11-30,0.0
2011-12-01,1.6393
2011-12-23,-4.8387
2012-01-20,-2.5423999999999998
2012-01-24,0.0
2012-01-25,0.0
2012-01-27,2.1739
2012-01-30,-6.383
2012-02-02,0.0
2012-02-10,5.4545
2012-02-16,-24.569
2012-02-17,0.0
2012-02-21,2.8571
2012-02-22,0.0
2012-02-24,13.8889
2012-02-28,-1.9512
2012-02-29,0.0
2012-03-01,0.4975
2012-03-12,1.4851
2012-03-16,7.3171
2012-03-20,0.0
2012-03-28,36.3636
2012-03-29,8.0
2012-03-30,7.716
2012-04-02,0.2865
2012-04-03,7.1429
2012-04-04,0.0
2012-04-05,4.0
2012-04-09,2.5641
2012-04-10,-1.25
2012-04-11,5.0633
2012-04-12,2.4096
2012-04-13,-2.3529
2012-04-16,2.4096
2012-04-17,5.8824
2012-04-19,-4.4444
2012-04-23,16.0465
2012-04-26,-14.8297
2012-04-27,12.9412
2012-05-31,0.0
2012-06-01,1.6667
2012-06-04,0.0
2012-06-22,-6.7623
2012-06-27,-12.0879
2012-06-28,-6.25
2012-07-09,0.2667
2012-07-20,1.0638
2012-07-23,5.2632
2012-07-30,3.75
2012-08-13,-4.8193
2012-08-14,6.3291
2012-08-21,5.9524
2012-08-23,28.0899
2012-08-24,0.0
2012-08-28,18.4211
2012-08-31,11.1111
2012-09-04,0.0
2012-09-12,0.0
2012-09-13,0.0
2012-09-17,0.0
2012-09-20,-20.0
2012-09-24,-25.0
2012-09-27,66.6667
