ticker,LAAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-17,102.0
2017-11-20,48.5149
2017-12-08,16.6667
2017-12-20,0.0
2018-02-06,94.2857
2018-02-07,-11.7647
2018-02-12,33.3333
2018-02-13,0.0
2018-02-16,0.0
2018-04-26,26.25
2018-04-27,-40.5941
2018-04-30,-63.3333
2018-05-03,104.5455
2018-05-04,35.1111
2018-05-07,-42.4342
2018-05-08,100.0
2018-05-09,9.7143
2018-05-10,-34.8958
2018-05-11,-18.8
2018-05-14,-8.867
2018-05-15,-10.8108
2018-05-16,-9.0909
2018-05-17,-42.3333
2018-05-18,-12.1387
2018-05-21,-21.0526
2018-05-22,0.35
2018-05-23,66.0854
2018-05-24,92.0
2018-05-25,9.375
2018-05-29,12.857099999999999
2018-05-30,7.5949
2018-05-31,11.9608
2018-06-01,10.332699999999999
2018-06-04,11.4286
2018-06-05,13.9601
2018-06-06,-46.25
2018-06-07,16.2791
2018-06-08,12.0
2018-06-11,0.0
2018-06-12,1.4285999999999999
2018-06-13,8.4507
2018-06-14,7.4675
2018-06-15,9.0634
2018-06-18,7.4792
2018-06-19,4.3814
2018-06-20,8.0247
2018-06-21,5.6
2018-06-22,4.329
2018-06-25,4.5643
2018-06-26,6.3492
2018-06-27,7.2761
2018-06-28,-18.2609
2018-06-29,-67.6596
2018-07-02,37.5
2018-07-03,6.2201
2018-07-05,1.3514
2018-07-06,6.2222
2018-07-09,13.3891
2018-07-10,2.952
2018-07-11,-53.405
2018-07-12,-5.3846
2018-07-13,-19.5122
2018-07-16,-24.2424
2018-07-17,-20.0
2018-07-18,16.55
2018-07-19,5.8201
2018-07-20,1.3514
2018-07-23,4.0
2018-07-24,14.1026
2018-07-25,3.3708
2018-07-26,-15.7609
2018-07-27,1.9355
2018-07-30,-11.3924
2018-07-31,11.4286
2018-08-01,-24.359
2018-08-02,-40.678
2018-08-03,10.5714
2018-08-06,-12.1447
2018-08-07,-35.2941
2018-08-08,-45.4545
2018-08-09,35.8333
2018-08-10,-14.1104
2018-08-13,28.5714
2018-08-14,0.0
2018-08-15,0.0
2018-08-16,5.5556
2018-08-17,25.7895
2018-08-20,-16.318
2018-08-21,15.0
2018-08-22,-13.0435
2018-08-23,0.0
2018-08-24,0.0
2018-08-27,10.0
2018-08-28,-15.9091
2018-08-29,-12.1622
2018-08-30,-1.5385
2018-08-31,0.0
2018-09-04,6.25
2018-09-05,-11.7647
2018-09-06,-12.6667
2018-09-07,-8.0153
2018-09-10,24.0664
