ticker,AUTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-22,47.0588
2018-06-25,4.76
2018-06-26,5.9565
2018-06-27,-4.0
2018-06-28,-1.7267000000000001
2018-06-29,2.33
2018-07-02,-6.5696
2018-07-03,-4.7543
2018-07-05,10.5705
2018-07-06,-0.0759
2018-07-09,-1.3667
2018-07-10,-0.2694
2018-07-11,-10.0347
2018-07-12,-9.438
2018-07-13,-1.1843
2018-07-16,9.0604
2018-07-17,-4.3077
2018-07-18,3.8125999999999998
2018-07-19,3.3628
2018-07-20,7.8767
2018-07-23,-1.1508
2018-07-24,-5.6604
2018-07-25,3.617
2018-07-26,0.5749
2018-07-27,-1.1433
2018-07-30,-2.1892
2018-07-31,-0.8446
2018-08-01,-0.5111
2018-08-02,2.0976
2018-08-03,-1.0482
2018-08-06,3.3475
2018-08-07,3.444
2018-08-08,0.1982
2018-08-09,-1.7405
2018-08-10,8.2931
2018-08-13,3.7175000000000002
2018-08-14,-0.8244
2018-08-15,2.9996
2018-08-16,6.6667
2018-08-17,0.7566
2018-08-20,-2.873
2018-08-21,-2.0168
2018-08-22,1.5436999999999999
2018-08-23,-2.3649
2018-08-24,0.4844
2018-08-27,1.584
2018-08-28,-0.9153
2018-08-29,1.779
2018-08-30,0.5714
2018-08-31,-0.7353
2018-09-04,-1.4815
2018-09-05,2.324
2018-09-06,-1.002
2018-09-07,4.5884
2018-09-10,7.5161
2018-09-11,-6.2406
2018-09-12,-4.864
2018-09-13,-3.4645
2018-09-14,4.5296
2018-09-17,-0.5333
2018-09-18,-2.6475
2018-09-19,1.3425
2018-09-20,-3.1929
2018-09-21,4.0
2018-09-24,-8.2321
2018-09-25,0.1838
2018-09-26,-0.5505
2018-09-27,7.1218
2018-09-28,5.6493
2018-10-01,-0.0978
2018-10-02,-2.7089
2018-10-03,-3.8578
2018-10-04,-13.7823
2018-10-05,11.291
2018-10-08,4.1455
2018-10-09,-5.3073
2018-10-10,-9.1077
2018-10-11,-1.7850000000000001
2018-10-12,5.3284
2018-10-15,-2.3922
2018-10-16,13.7003
2018-10-17,-0.7067
2018-10-18,10.3203
2018-10-19,0.8065
2018-10-22,4.96
2018-10-23,-6.5854
2018-10-24,-2.2193
2018-10-25,3.8051
2018-10-26,-6.7524
2018-10-29,-4.6552
2018-10-30,-0.1808
2018-10-31,3.2609
2018-11-01,10.526299999999999
2018-11-02,0.7937
2018-11-05,0.2835
2018-11-06,-10.3643
2018-11-07,9.3203
2018-11-08,24.6474
