ticker,BELFA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.0717
2000-01-04,-4.6341
2000-01-05,2.8133
2000-01-06,-3.4826
2000-01-07,1.0309
2000-01-10,-2.551
2000-01-11,-4.4503
2000-01-12,6.8493
2000-01-13,6.6667
2000-01-14,5.2885
2000-01-18,-5.4795
2000-01-19,-5.314
2000-01-20,-4.0816
2000-01-21,-2.1277
2000-01-24,1.087
2000-01-25,-0.5376
2000-01-26,0.5405
2000-01-27,4.3011
2000-01-28,-0.5155
2000-01-31,5.1813
2000-02-01,-2.4631
2000-02-02,-5.0505
2000-02-03,-3.1915
2000-02-04,-4.3956
2000-02-07,-6.3218
2000-02-08,1.8405
2000-02-09,1.2048
2000-02-10,-4.4643
2000-02-11,-1.5575999999999999
2000-02-14,-4.7468
2000-02-15,1.3289
2000-02-16,0.3279
2000-02-17,3.268
2000-02-18,-2.5316
2000-02-22,7.1429
2000-02-23,6.6667
2000-02-24,1.1364
2000-02-25,-4.4944
2000-02-28,-3.5294
2000-02-29,-6.0976
2000-03-01,2.5974
2000-03-02,0.0
2000-03-03,8.8608
2000-03-06,0.0
2000-03-07,-0.436
2000-03-08,-1.0219
2000-03-09,-2.9499
2000-03-10,11.8541
2000-03-13,5.163
2000-03-14,2.3256
2000-03-15,-4.0404
2000-03-16,-6.5789
2000-03-17,1.9718
2000-03-20,0.8287
2000-03-21,-0.274
2000-03-22,-1.9231
2000-03-23,-4.4818
2000-03-24,3.8123
2000-03-27,-3.3898
2000-03-28,-2.924
2000-03-29,-0.9036
2000-03-30,0.304
2000-03-31,-1.8182
2000-04-03,-7.4074
2000-04-04,1.3333
2000-04-05,-1.6447
2000-04-06,-1.0033
2000-04-07,4.0541
2000-04-10,-1.9481000000000002
2000-04-11,-1.9868000000000001
2000-04-12,5.4054
2000-04-13,-3.8462
2000-04-14,-4.6667
2000-04-17,-9.0909
2000-04-18,2.3077
2000-04-19,4.5113
2000-04-20,0.0
2000-04-24,5.036
2000-04-25,-1.3699
2000-04-26,0.6944
2000-04-27,-8.2759
2000-04-28,6.7669
2000-05-01,2.1127
2000-05-02,-1.3793
2000-05-03,-4.1958
2000-05-04,5.1095
2000-05-05,2.7778
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,8.1081
2000-05-11,-1.25
2000-05-12,-0.6329
2000-05-16,-1.9108
2000-05-17,0.0
2000-05-18,-1.2987
2000-05-19,-3.9474
2000-05-22,-0.6849
2000-05-23,4.4828
2000-05-24,-2.3102
