ticker,EXPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-30,-5.0
2014-01-31,-26.3158
2014-02-03,-21.4286
2014-02-04,-27.2727
2014-02-05,12.5
2014-02-06,11.1111
2014-02-07,-10.0
2014-02-11,0.0
2014-02-12,-8.8889
2014-02-19,9.7561
2014-02-21,0.0
2014-02-25,0.0
2014-02-26,-8.8889
2014-02-27,0.0
2014-03-03,-2.439
2014-03-04,-5.0
2014-03-17,-21.0526
2014-03-18,0.0
2014-03-21,0.0
2014-03-25,36.6667
2014-03-26,24.3902
2014-03-27,-2.9412000000000003
2014-03-28,-49.4949
2014-03-31,0.0
2014-04-01,20.0
2014-04-02,0.0
2014-04-04,-10.0
2014-04-07,-7.4074
2014-04-08,11.55
2014-04-10,-46.2125
2014-04-11,-16.6667
2014-04-14,60.0
2014-04-21,-37.3438
2014-04-22,3.7406
2014-04-28,-22.3077
2014-05-02,48.5149
2014-05-06,133.25
2014-05-07,-51.4112
2014-05-09,17.647100000000002
2014-05-12,5.0
2014-05-13,38.0952
2014-05-14,3.1034
2014-05-16,-3.01
2014-05-20,-10.3448
2014-05-21,7.6923
2014-05-22,25.0
2014-05-23,0.0
2014-05-27,0.0
2014-05-28,8.5714
2014-05-29,-18.4211
2014-05-30,29.0323
2014-06-05,-25.0
2014-06-09,23.3333
2014-06-10,8.1081
2014-06-11,-12.5
2014-06-13,-12.857099999999999
2014-06-18,11.4754
2014-06-20,2.9412000000000003
2014-06-26,-1.4285999999999999
2014-07-02,1.4493
2014-07-17,0.0
2014-07-24,-14.2857
2014-07-28,-16.6667
2014-07-29,0.0
2014-08-01,0.0
2014-08-04,24.0
2014-08-05,-25.8065
2014-08-06,2.1739
2014-08-12,-6.383
2014-08-14,0.0
2014-08-20,-9.0909
2014-08-22,22.5
2014-08-29,0.0
2014-09-05,0.0
2014-09-11,2.0408
2014-09-12,4.0
2014-09-15,0.0
2014-09-16,0.0
2014-09-17,3.8462
2014-09-19,0.3704
2014-09-22,0.0
2014-09-25,3.321
2014-10-01,-21.3839
2014-10-02,27.2005
2014-10-06,0.0
2014-10-13,0.0
2014-10-16,-7.1429
2014-10-17,0.0
2014-10-20,-3.8462
2014-10-23,0.0
2014-10-24,0.0
2014-10-27,-14.0
2014-10-29,11.6279
2014-10-30,0.0
2014-10-31,0.0
2014-11-03,-16.6667
2014-11-04,10.0
2014-11-05,-13.6364
2014-11-06,-2.6316
2014-11-07,0.0
2014-11-11,2.7027
2014-11-14,7.8947
