ticker,BNED US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-24,-2.3051
2015-07-27,-1.7349
2015-07-28,-4.1667
2015-07-29,0.2948
2015-07-30,-0.7348
2015-07-31,6.2176
2015-08-03,-8.0836
2015-08-04,-1.8954
2015-08-05,1.4683
2015-08-06,-4.1127
2015-08-07,-6.2748
2015-08-10,7.7119
2015-08-11,3.6978999999999997
2015-08-12,-2.2762000000000002
2015-08-13,0.5435
2015-08-14,6.0232
2015-08-17,2.622
2015-08-18,-5.181
2015-08-19,-1.8713
2015-08-20,-3.3562
2015-08-21,1.5785
2015-08-24,-2.4087
2015-08-25,-3.1051
2015-08-26,0.0
2015-08-27,1.9721
2015-08-28,3.6261
2015-08-31,0.311
2015-09-01,1.0078
2015-09-02,2.1489
2015-09-03,-0.0751
2015-09-04,1.1278
2015-09-08,-1.4126
2015-09-09,-2.3379
2015-09-10,-0.0772
2015-09-11,-1.5455999999999999
2015-09-14,6.7504
2015-09-15,-2.2794
2015-09-16,-2.0316
2015-09-17,-0.768
2015-09-18,-0.387
2015-09-21,-1.2432
2015-09-22,-0.4721
2015-09-23,-0.7905
2015-09-24,5.8167
2015-09-25,0.6777
2015-09-28,-4.9364
2015-09-29,0.3934
2015-09-30,-0.3918
2015-10-01,-2.203
2015-10-02,2.0113
2015-10-05,-0.5521
2015-10-06,-0.7137
2015-10-07,1.3578000000000001
2015-10-08,-0.6304
2015-10-09,-1.5067
2015-10-12,1.5298
2015-10-13,-1.2688
2015-10-14,-0.4016
2015-10-15,2.0161
2015-10-16,1.6601
2015-10-19,-1.2442
2015-10-20,-2.126
2015-10-21,0.0805
2015-10-22,1.1254
2015-10-23,-0.159
2015-10-26,5.414
2015-10-27,-1.8881999999999999
2015-10-28,4.0031
2015-10-29,3.4049
2015-10-30,5.5834
2015-11-02,-3.7288
2015-11-03,0.9155
2015-11-04,1.8144
2015-11-05,-0.2056
2015-11-06,2.5412
2015-11-09,-1.8754
2015-11-10,-0.9556
2015-11-11,-2.7567
2015-11-12,-2.6931000000000003
2015-11-13,-1.311
2015-11-16,4.797
2015-11-17,0.7042
2015-11-18,1.7483
2015-11-19,-0.9622
2015-11-20,3.0534
2015-11-23,0.5387
2015-11-24,-0.8038
2015-11-25,2.2282
2015-11-27,0.8587
2015-11-30,-5.37
2015-12-01,0.1384
2015-12-02,1.7277
2015-12-03,-4.8913
2015-12-04,-7.3571
2015-12-07,-1.3107
2015-12-08,-27.2656
2015-12-09,-3.4372
