ticker,XRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,6.6116
2000-01-04,-4.6512
2000-01-05,5.1491
2000-01-06,-2.0619
2000-01-07,2.3684
2000-01-10,-2.3136
2000-01-11,-1.0526
2000-01-12,-0.266
2000-01-13,2.6667
2000-01-14,-2.0779
2000-01-18,0.2653
2000-01-19,0.7937
2000-01-20,-4.4619
2000-01-21,-2.7473
2000-01-24,-1.6949
2000-01-25,0.8621
2000-01-26,0.2849
2000-01-27,-2.5568
2000-01-28,-4.3732
2000-01-31,1.8293
2000-02-01,-0.2994
2000-02-02,0.6006
2000-02-03,3.8806000000000003
2000-02-04,1.1494
2000-02-07,-1.4205
2000-02-08,0.2882
2000-02-09,-0.5747
2000-02-10,-4.0462
2000-02-11,-2.4096
2000-02-14,8.642
2000-02-15,1.1364
2000-02-16,-3.6517
2000-02-17,-2.6239
2000-02-18,0.5988
2000-02-22,-0.2976
2000-02-23,-1.4925
2000-02-24,-1.2121
2000-02-25,-1.227
2000-02-28,3.1056
2000-02-29,4.8193
2000-03-01,0.0575
2000-03-02,-1.7391
2000-03-03,-1.1799
2000-03-06,2.6866
2000-03-07,-3.7791
2000-03-08,2.719
2000-03-09,5.8824
2000-03-10,8.0556
2000-03-13,0.7712
2000-03-14,-5.102
2000-03-15,9.6774
2000-03-16,0.4902
2000-03-17,0.7317
2000-03-20,0.7264
2000-03-21,14.4231
2000-03-22,-9.2437
2000-03-23,-0.463
2000-03-24,-0.2326
2000-03-27,0.4953
2000-03-28,-0.7248
2000-03-29,0.0
2000-03-30,-0.7009
2000-03-31,-2.1176
2000-04-03,-3.6058
2000-04-04,1.2469000000000001
2000-04-05,0.4926
2000-04-06,7.3529
2000-04-07,1.3699
2000-04-10,-2.2523
2000-04-11,-2.0737
2000-04-12,0.2353
2000-04-13,-4.2254
2000-04-14,-5.3922
2000-04-17,3.1088
2000-04-18,-3.5176
2000-04-19,7.2917
2000-04-20,-2.6699
2000-04-24,-3.7406
2000-04-25,10.6218
2000-04-26,4.918
2000-04-27,-3.3482
2000-04-28,-2.0785
2000-05-01,2.1226
2000-05-02,-2.0785
2000-05-03,0.9434
2000-05-04,0.0
2000-05-05,3.7382999999999997
2000-05-08,1.3514
2000-05-09,-0.4444
2000-05-10,-1.7856999999999998
2000-05-11,-7.2727
2000-05-12,5.8824
2000-05-15,-1.3889
2000-05-16,2.3474
2000-05-17,-0.4587
2000-05-18,-1.1521
2000-05-19,-3.0303
2000-05-22,-1.4423
